#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         153    -4.38858    -4.92641   0.0319445
         154    -4.52589    -4.92381   0.0318428
         155    -4.75275     -4.9227   0.0316564
         156    -4.60978     -4.9207    0.031517
         157    -4.59984    -4.91865   0.0313824
         158    -4.44504    -4.91566   0.0313267
         159    -4.51674    -4.91315   0.0312299
         160    -4.57219    -4.91102   0.0311074
         161    -4.61822     -4.9092   0.0309673
         162    -4.57525    -4.90714   0.0308447
         163    -4.56036    -4.90501   0.0307287
         164    -4.73456    -4.90397   0.0305589
         165    -4.61367    -4.90221   0.0304243
         166    -4.72962    -4.90117   0.0302588
         167    -4.70491    -4.89999   0.0301004
         168    -4.71872    -4.89892   0.0299406
         169    -4.61089    -4.89721   0.0298119
         170    -4.66166    -4.89583   0.0296687
         171    -4.48093     -4.8934   0.0295942
         172    -4.59244    -4.89165   0.0294739
         173    -4.69867    -4.89053   0.0293246
         174    -4.62162    -4.88899   0.0291968
         175    -4.59773    -4.88732   0.0290773
         176    -4.59475    -4.88566   0.0289596
         177    -4.57091    -4.88388   0.0288505
         178    -4.76495    -4.88322   0.0286962
         179    -4.66869    -4.88202   0.0285609
         180    -4.71337    -4.88108   0.0284176
         181    -4.59917    -4.87952   0.0283032
         182    -4.68435    -4.87845    0.028168
         183    -4.62742    -4.87708   0.0280475
         184     -4.7027    -4.87613    0.027911
         185     -4.7534    -4.87547    0.027768
         186    -4.53519    -4.87364    0.027679
         187     -4.6522    -4.87245   0.0275563
         188    -4.59369    -4.87097   0.0274495
         189    -4.69248    -4.87003   0.0273206
         190    -4.54872    -4.86834    0.027229
         191    -4.69997    -4.86745   0.0271008
         192    -4.65519    -4.86635   0.0269821
         193    -4.77269    -4.86586   0.0268467
         194    -4.65714    -4.86479   0.0267299
         195    -4.67032    -4.86379   0.0266114
         196     -4.5091    -4.86198   0.0265371
         197    -4.48349    -4.86006   0.0264718
         198    -4.50772    -4.85828   0.0263979
         199    -4.72668    -4.85762   0.0262735
         200    -4.59477     -4.8563    0.026175
         201    -4.69584    -4.85551   0.0260569
         202    -4.77097    -4.85509   0.0259313
         203    -4.71448     -4.8544   0.0258128
         204    -4.68015    -4.85354   0.0257004
         205    -4.70327    -4.85281   0.0255855
         206    -4.58626    -4.85151    0.025494
         207    -4.56894    -4.85015   0.0254073
         208    -4.41875    -4.84807   0.0253697
         209    -4.45221    -4.84618   0.0253189
         210    -4.44496    -4.84427   0.0252703
         211     -4.3808    -4.84207   0.0252459
         212    -4.52857    -4.84059   0.0251701
         213    -4.61666    -4.83954   0.0250738
         214    -4.59722    -4.83841   0.0249822
         215    -4.47225    -4.83671    0.024924
         216    -4.69997    -4.83607   0.0248167
         217    -4.73987    -4.83563   0.0247063
         218    -4.70099    -4.83501   0.0246006
         219    -4.76054    -4.83467   0.0244907
         220    -4.90585      -4.835   0.0243815
         221     -4.8154    -4.83491   0.0242713
         222    -4.89592    -4.83518   0.0241635
         223     -4.7916    -4.83499    0.024056
