#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     1.67561     2.09636   0.0433981
         169     1.67686     2.09388   0.0432123
         170     1.67816     2.09144   0.0430272
         171     1.67951     2.08903    0.042843
         172     1.68087     2.08665   0.0426595
         173     1.68223     2.08432    0.042477
         174     1.68357     2.08201   0.0422952
         175     1.68486     2.07974   0.0421144
         176     1.68607     2.07751   0.0419345
         177     1.68718      2.0753   0.0417555
         178     1.68816     2.07313   0.0415775
         179     1.68899     2.07098   0.0414006
         180     1.68965     2.06886   0.0412247
         181     1.69011     2.06677   0.0410501
         182     1.69036      2.0647   0.0408766
         183      1.6904     2.06266   0.0407043
         184     1.69021     2.06063   0.0405334
         185     1.68979     2.05863   0.0403639
         186     1.68915     2.05664   0.0401957
         187     1.68828     2.05467    0.040029
         188      1.6872     2.05272   0.0398638
         189     1.68591     2.05078   0.0397001
         190     1.68444     2.04885   0.0395379
         191     1.68281     2.04693   0.0393773
         192     1.68102     2.04502   0.0392183
         193     1.67911     2.04313   0.0390609
         194     1.67709     2.04124   0.0389051
         195     1.67499     2.03936   0.0387509
         196     1.67285     2.03749   0.0385983
         197     1.67067     2.03563   0.0384472
         198     1.66848     2.03378   0.0382978
         199      1.6663     2.03193   0.0381498
         200     1.66416     2.03009   0.0380033
         201     1.66207     2.02826   0.0378584
         202     1.66005     2.02644   0.0377148
         203     1.65813     2.02462   0.0375726
         204     1.65631     2.02282   0.0374318
         205     1.65461     2.02102   0.0372923
         206     1.65305     2.01924    0.037154
         207     1.65164     2.01746   0.0370169
         208     1.65038      2.0157    0.036881
         209     1.64929     2.01394   0.0367462
         210     1.64838      2.0122   0.0366124
         211     1.64766     2.01047   0.0364796
         212     1.64713     2.00876   0.0363478
         213     1.64681     2.00706   0.0362169
         214     1.64671     2.00538   0.0360867
         215     1.64683     2.00371   0.0359574
         216      1.6472     2.00206   0.0358288
         217     1.64782     2.00043   0.0357009
         218     1.64871     1.99881   0.0355735
         219     1.64987     1.99722   0.0354468
         220     1.65132     1.99565   0.0353205
         221     1.65307      1.9941   0.0351947
         222     1.65512     1.99257   0.0350692
         223      1.6575     1.99107   0.0349442
         224     1.66019     1.98959   0.0348194
         225     1.66321     1.98814   0.0346948
         226     1.66654     1.98672   0.0345705
         227     1.67019     1.98532   0.0344463
         228     1.67415     1.98396   0.0343222
         229     1.67838     1.98262   0.0341983
         230     1.68289     1.98132   0.0340744
         231     1.68764     1.98005   0.0339506
         232     1.69261     1.97881   0.0338269
         233     1.69777      1.9776   0.0337032
         234     1.70308     1.97643   0.0335796
         235     1.70849     1.97529    0.033456
         236     1.71399     1.97418   0.0333326
         237     1.71951     1.97311   0.0332093
         238     1.72502     1.97207   0.0330861
         239     1.73049     1.97106   0.0329631
         240     1.73587     1.97008   0.0328403
         241     1.74114     1.96913   0.0327178
         242     1.74625      1.9682   0.0325955
         243     1.75119     1.96731   0.0324736
         244     1.75592     1.96645   0.0323521
         245     1.76042      1.9656    0.032231
         246     1.76467     1.96479   0.0321103
         247     1.76867     1.96399   0.0319901
         248     1.77239     1.96322   0.0318704
         249     1.77584     1.96247   0.0317513
         250     1.77901     1.96173   0.0316328
         251      1.7819     1.96102   0.0315149
         252     1.78451     1.96032   0.0313976
         253     1.78685     1.95963    0.031281
         254     1.78893     1.95896   0.0311651
         255     1.79076      1.9583   0.0310498
         256     1.79234     1.95765   0.0309353
         257      1.7937     1.95701   0.0308215
         258     1.79483     1.95639   0.0307085
         259     1.79577     1.95577   0.0305962
         260     1.79651     1.95515   0.0304846
         261     1.79707     1.95455   0.0303738
         262     1.79747     1.95395   0.0302638
         263     1.79772     1.95335   0.0301546
         264     1.79783     1.95276   0.0300461
         265     1.79782     1.95218   0.0299384
         266      1.7977      1.9516   0.0298315
         267     1.79747     1.95102   0.0297253
         268     1.79715     1.95045     0.02962
         269     1.79674     1.94988   0.0295154
         270     1.79626     1.94931   0.0294115
         271     1.79572     1.94874   0.0293085
         272     1.79511     1.94818   0.0292062
         273     1.79445     1.94761   0.0291046
         274     1.79373     1.94705   0.0290038
         275     1.79298     1.94649   0.0289037
