#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     1.11708     1.39758   0.0289321
         169     1.11791     1.39592   0.0288082
         170     1.11878     1.39429   0.0286848
         171     1.11967     1.39268    0.028562
         172     1.12058      1.3911   0.0284397
         173     1.12149     1.38954    0.028318
         174     1.12238     1.38801   0.0281968
         175     1.12324      1.3865   0.0280763
         176     1.12405       1.385   0.0279563
         177     1.12479     1.38353    0.027837
         178     1.12544     1.38208   0.0277183
         179       1.126     1.38065   0.0276004
         180     1.12643     1.37924   0.0274832
         181     1.12674     1.37785   0.0273667
         182     1.12691     1.37647    0.027251
         183     1.12693      1.3751   0.0271362
         184     1.12681     1.37375   0.0270223
         185     1.12653     1.37242   0.0269092
         186      1.1261     1.37109   0.0267971
         187     1.12552     1.36978    0.026686
         188      1.1248     1.36848   0.0265758
         189     1.12394     1.36718   0.0264667
         190     1.12296      1.3659   0.0263586
         191     1.12187     1.36462   0.0262515
         192     1.12068     1.36335   0.0261455
         193      1.1194     1.36209   0.0260406
         194     1.11806     1.36083   0.0259367
         195     1.11666     1.35958   0.0258339
         196     1.11523     1.35833   0.0257322
         197     1.11378     1.35709   0.0256315
         198     1.11232     1.35585   0.0255318
         199     1.11087     1.35462   0.0254332
         200     1.10944     1.35339   0.0253356
         201     1.10805     1.35217   0.0252389
         202      1.1067     1.35096   0.0251432
         203     1.10542     1.34975   0.0250484
         204     1.10421     1.34855   0.0249545
         205     1.10308     1.34735   0.0248615
         206     1.10204     1.34616   0.0247693
         207     1.10109     1.34497   0.0246779
         208     1.10025      1.3438   0.0245873
         209     1.09953     1.34263   0.0244975
         210     1.09892     1.34147   0.0244083
         211     1.09844     1.34032   0.0243198
         212     1.09809     1.33917   0.0242319
         213     1.09787     1.33804   0.0241446
         214      1.0978     1.33692   0.0240578
         215     1.09789     1.33581   0.0239716
         216     1.09813     1.33471   0.0238859
         217     1.09855     1.33362   0.0238006
         218     1.09914     1.33254   0.0237157
         219     1.09991     1.33148   0.0236312
         220     1.10088     1.33043    0.023547
         221     1.10204      1.3294   0.0234631
         222     1.10342     1.32838   0.0233795
         223       1.105     1.32738   0.0232961
         224     1.10679     1.32639   0.0232129
         225      1.1088     1.32543   0.0231299
         226     1.11103     1.32448    0.023047
         227     1.11346     1.32355   0.0229642
         228      1.1161     1.32264   0.0228815
         229     1.11892     1.32175   0.0227989
         230     1.12193     1.32088   0.0227163
         231      1.1251     1.32003   0.0226337
         232     1.12841     1.31921   0.0225512
         233     1.13185      1.3184   0.0224688
         234     1.13538     1.31762   0.0223864
         235       1.139     1.31686    0.022304
         236     1.14266     1.31612   0.0222217
         237     1.14634     1.31541   0.0221395
         238     1.15001     1.31471   0.0220574
         239     1.15366     1.31404   0.0219754
         240     1.15725     1.31338   0.0218935
         241     1.16076     1.31275   0.0218118
         242     1.16417     1.31214   0.0217304
         243     1.16746     1.31154   0.0216491
         244     1.17061     1.31096   0.0215681
         245     1.17361      1.3104   0.0214873
         246     1.17645     1.30986   0.0214069
         247     1.17911     1.30933   0.0213267
         248     1.18159     1.30881    0.021247
         249     1.18389     1.30831   0.0211676
         250     1.18601     1.30782   0.0210885
         251     1.18793     1.30735   0.0210099
         252     1.18967     1.30688   0.0209317
         253     1.19124     1.30642    0.020854
         254     1.19262     1.30597   0.0207767
         255     1.19384     1.30553   0.0206999
         256      1.1949      1.3051   0.0206235
         257      1.1958     1.30468   0.0205477
         258     1.19656     1.30426   0.0204723
         259     1.19718     1.30384   0.0203974
         260     1.19767     1.30344   0.0203231
         261     1.19805     1.30303   0.0202492
         262     1.19831     1.30263   0.0201759
         263     1.19848     1.30224    0.020103
         264     1.19856     1.30184   0.0200307
         265     1.19855     1.30145   0.0199589
         266     1.19846     1.30107   0.0198877
         267     1.19831     1.30068   0.0198169
         268      1.1981      1.3003   0.0197466
         269     1.19783     1.29992   0.0196769
         270     1.19751     1.29954   0.0196077
         271     1.19714     1.29916    0.019539
         272     1.19674     1.29878   0.0194708
         273      1.1963     1.29841   0.0194031
         274     1.19582     1.29803   0.0193359
         275     1.19532     1.29766   0.0192692
         276     1.19478     1.29729    0.019203
         277     1.19422     1.29692   0.0191372
         278     1.19363     1.29654    0.019072
         279     1.19301     1.29617   0.0190073
