#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.437472    0.437472           0
           2    0.432089     0.43478   0.0019031
           3    0.411862    0.427141  0.00636514
           4    0.472789    0.438553   0.0109756
           5    0.416778    0.434198  0.00960572
           6    0.420001    0.431832  0.00829108
           7    0.412646    0.429091  0.00754608
           8    0.439936    0.430447  0.00672349
           9    0.451075    0.432739  0.00635511
          10    0.406669    0.430132  0.00623139
          11    0.422817    0.429467  0.00570027
          12    0.436483    0.430051  0.00525515
          13    0.421145    0.429366  0.00489536
          14     0.44785    0.430686  0.00472037
          15    0.407121    0.429115  0.00465979
          16    0.406834    0.427723  0.00457191
          17    0.447874    0.428908  0.00445399
          18     0.43645    0.429327  0.00422621
          19    0.443208    0.430058  0.00406643
          20    0.463002    0.431705  0.00418344
          21    0.417526     0.43103  0.00403835
          22    0.420667    0.430559  0.00388216
          23    0.425388    0.430334  0.00371988
          24    0.418244     0.42983  0.00359883
          25    0.395199    0.428445  0.00371192
          26    0.434967    0.428696  0.00357762
          27    0.414307    0.428163  0.00348458
          28    0.421385    0.427921  0.00336853
          29    0.439076    0.428305  0.00327426
          30    0.436254     0.42857  0.00317582
          31      0.3664    0.426565  0.00365211
          32    0.446635    0.427192  0.00359143
          33    0.443395    0.427683  0.00351601
          34    0.452519    0.428413  0.00348765
          35    0.405105    0.427748    0.003451
          36    0.450245    0.428372  0.00341125
          37    0.470832     0.42952  0.00350677
          38    0.449061    0.430034  0.00345199
          39    0.426817    0.429952  0.00336446
          40    0.461022    0.430728  0.00336882
          41    0.440002    0.430955  0.00329424
          42    0.438177    0.431127  0.00322029
          43     0.44682    0.431492  0.00316601
          44    0.446805     0.43184  0.00311313
          45      0.4195    0.431565    0.003056
          46    0.423384    0.431388  0.00299473
          47    0.448548    0.431753  0.00295319
          48    0.426995    0.431654  0.00289333
          49    0.412233    0.431257   0.0028613
          50    0.422877     0.43109  0.00280898
          51    0.446791    0.431397  0.00277072
          52    0.424389    0.431263  0.00272071
          53    0.438555      0.4314  0.00267286
          54    0.428058    0.431338  0.00262407
          55    0.424279     0.43121   0.0025795
          56    0.412693    0.430879  0.00255454
          57    0.410735    0.430526  0.00253406
          58    0.411317    0.430195  0.00251192
          59    0.426694    0.430135  0.00247004
          60    0.435349    0.430222   0.0024304
          61    0.422443    0.430095   0.0023939
          62    0.429393    0.430083  0.00235532
          63    0.429573    0.430075  0.00231795
          64    0.428239    0.430047  0.00228191
          65    0.445362    0.430282  0.00225893
          66    0.407521    0.429937  0.00225088
          67    0.432802     0.42998  0.00221769
          68    0.442891     0.43017  0.00219319
          69    0.468195    0.430721  0.00222956
          70    0.419586    0.430562  0.00220338
          71    0.421026    0.430428  0.00217644
          72    0.438648    0.430542   0.0021492
          73    0.424359    0.430457  0.00212143
          74    0.442915    0.430626  0.00209943
          75    0.422545    0.430518   0.0020742
          76    0.395159    0.430053  0.00209844
          77    0.463168    0.430483   0.0021148
          78    0.426833    0.430436   0.0020882
          79    0.414679    0.430236  0.00207127
          80    0.490465    0.430989  0.00217791
          81     0.40933    0.430722  0.00216737
          82    0.446762    0.430917  0.00214975
          83    0.422358    0.430814  0.00212632
          84    0.447985    0.431019  0.00211081
          85    0.439375    0.431117  0.00208827
          86    0.410465    0.430877  0.00207775
          87    0.434792    0.430922  0.00205435
          88    0.426644    0.430873  0.00203158
          89    0.401163    0.430539    0.002036
          90    0.469627    0.430974  0.00205918
          91    0.405624    0.430695   0.0020553
          92    0.417612    0.430553  0.00203788
          93    0.445252    0.430711  0.00202208
          94     0.45351    0.430954  0.00201507
          95    0.466621    0.431329  0.00202853
          96    0.418348    0.431194   0.0020119
          97    0.398856     0.43086  0.00201859
          98     0.43444    0.430897  0.00199832
          99    0.410273    0.430689  0.00198897
         100    0.425974    0.430642  0.00196964
