#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         165       -0.84   -0.913212  0.00562951
         166       -0.76   -0.912289  0.00567075
         167       -0.84   -0.911856  0.00565329
         168       -0.84   -0.911429   0.0056358
         169       -0.76   -0.910533  0.00567323
         170       -0.76   -0.909647  0.00570855
         171       -0.84    -0.90924  0.00568967
         172       -0.92   -0.909302  0.00565694
         173       -0.92   -0.909364  0.00562458
         174       -0.92   -0.909425  0.00559258
         175       -0.92   -0.909486  0.00556095
         176       -0.92   -0.909545  0.00552968
         177       -0.92   -0.909605  0.00549875
         178       -0.84   -0.909213  0.00548175
         179       -0.84   -0.908827  0.00546474
         180       -0.84   -0.908444  0.00544774
         181       -0.84   -0.908066  0.00543075
         182       -0.84   -0.907692  0.00541378
         183       -0.84   -0.907322  0.00539682
         184       -0.84   -0.906957  0.00537987
         185       -0.84   -0.906595  0.00536295
         186       -0.84   -0.906237  0.00534606
         187       -0.84   -0.905882  0.00532919
         188       -0.84   -0.905532  0.00531235
         189       -0.84   -0.905185  0.00529555
         190       -0.84   -0.904842  0.00527878
         191       -0.92   -0.904921  0.00525174
         192       -0.84   -0.904583  0.00523526
         193       -0.84   -0.904249  0.00521882
         194       -0.84   -0.903918  0.00520241
         195       -0.84    -0.90359  0.00518605
         196       -0.84   -0.903265  0.00516973
         197       -0.84   -0.902944  0.00515345
         198       -0.84   -0.902626  0.00513722
         199       -0.84   -0.902312  0.00512104
         200       -0.84      -0.902   0.0051049
         201       -0.84   -0.901692  0.00508881
         202       -0.76    -0.90099  0.00511174
         203       -0.76   -0.900296  0.00513352
         204       -0.92   -0.900392  0.00510927
         205       -0.92   -0.900488  0.00508524
         206       -0.92   -0.900583  0.00506143
         207       -0.92   -0.900676  0.00503785
         208       -0.92   -0.900769  0.00501449
         209       -0.84   -0.900478  0.00499892
         210       -0.84    -0.90019   0.0049834
         211       -0.84   -0.899905  0.00496794
         212       -0.84   -0.899623  0.00495254
         213       -0.84   -0.899343  0.00493719
         214       -0.84   -0.899065   0.0049219
         215       -0.84   -0.898791  0.00490667
         216       -0.92   -0.898889  0.00488494
         217       -0.92   -0.898986  0.00486339
         218       -0.92   -0.899083  0.00484204
         219       -0.92   -0.899178  0.00482087
         220       -0.84   -0.898909  0.00480646
         221       -0.84   -0.898643  0.00479209
         222       -0.92   -0.898739  0.00477147
         223       -0.92   -0.898834  0.00475103
         224       -0.92   -0.898929  0.00473076
         225       -0.84   -0.898667  0.00471698
         226       -0.92   -0.898761  0.00469705
         227       -0.92   -0.898855  0.00467729
         228       -0.92   -0.898947   0.0046577
         229       -0.84    -0.89869  0.00464446
         230       -0.92   -0.898783  0.00462519
         231       -0.92   -0.898874  0.00460608
         232       -0.92   -0.898966  0.00458713
         233       -0.92   -0.899056  0.00456833
         234       -0.92   -0.899145  0.00454968
         235       -0.92   -0.899234  0.00453119
         236       -0.92   -0.899322  0.00451284
         237       -0.92   -0.899409  0.00449465
         238       -0.92   -0.899496  0.00447659
         239       -0.92   -0.899582  0.00445868
         240       -0.92   -0.899667  0.00444092
         241       -0.92   -0.899751  0.00442329
         242       -0.92   -0.899835  0.00440581
         243       -0.92   -0.899918  0.00438846
         244          -1   -0.900328   0.0043896
         245          -1   -0.900735  0.00439049
         246          -1   -0.901138  0.00439115
         247          -1   -0.901538  0.00439158
         248          -1   -0.901935  0.00439178
         249          -1   -0.902329  0.00439176
         250          -1    -0.90272  0.00439154
         251          -1   -0.903108  0.00439111
         252          -1   -0.903492  0.00439049
         253          -1   -0.903874  0.00438967
         254          -1   -0.904252  0.00438867
         255          -1   -0.904627   0.0043875
         256          -1      -0.905  0.00438615
         257          -1    -0.90537  0.00438463
         258       -0.92   -0.905426    0.004368
         259       -0.92   -0.905483   0.0043515
         260          -1   -0.905846  0.00434992
         261          -1   -0.906207  0.00434819
         262          -1   -0.906565   0.0043463
         263          -1    -0.90692  0.00434427
         264       -0.92    -0.90697   0.0043281
         265       -0.84   -0.906717  0.00431914
         266       -0.92   -0.906767  0.00430319
         267       -0.92   -0.906816  0.00428736
         268       -0.92   -0.906866  0.00427164
         269       -0.92   -0.906914  0.00425604
         270       -0.92   -0.906963  0.00424055
         271          -1   -0.907306  0.00423878
         272          -1   -0.907647  0.00423687
