#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.359491    0.359491           0
           2    0.383469     0.37148  0.00847735
           3    0.364549     0.36917  0.00595809
           4    0.378034    0.371386  0.00486331
           5    0.369983    0.371105  0.00389873
           6    0.371084    0.371102  0.00324894
           7    0.355288    0.368843  0.00348279
           8    0.360058    0.367744   0.0032159
           9    0.359767    0.366858  0.00297822
          10    0.368212    0.366994  0.00268347
          11    0.368854    0.367163  0.00244485
          12    0.349444    0.365686  0.00264973
          13    0.369704    0.365995  0.00246387
          14    0.362444    0.365742   0.0023009
          15    0.358719    0.365273  0.00219462
          16    0.370334     0.36559  0.00208013
          17    0.373473    0.366053  0.00200879
          18    0.373212    0.366451  0.00193616
          19    0.370817    0.366681  0.00184784
          20    0.362705    0.366482  0.00176611
          21    0.374862    0.366881   0.0017265
          22    0.376072    0.367299  0.00169782
          23    0.361048    0.367027  0.00164561
          24    0.369659    0.367137  0.00158069
          25    0.389007    0.368012   0.0017428
          26     0.36327    0.367829  0.00168528
          27    0.359522    0.367522  0.00165072
          28    0.352774    0.366995  0.00167368
          29    0.374899    0.367267  0.00163801
          30    0.377025    0.367593  0.00161538
          31    0.386875    0.368215  0.00167876
          32    0.361309    0.367999  0.00164011
          33    0.358463     0.36771  0.00161567
          34    0.368694    0.367739  0.00156841
          35    0.364502    0.367646  0.00152632
          36    0.369747    0.367705  0.00148504
          37    0.372255    0.367828  0.00144998
          38     0.37641    0.368054  0.00142931
          39    0.375809    0.368252  0.00140642
          40    0.366728    0.368214  0.00137178
          41    0.376459    0.368415  0.00135298
          42    0.367962    0.368405  0.00132081
          43    0.375439    0.368568  0.00130018
          44    0.368908    0.368576  0.00127065
          45    0.379237    0.368813  0.00126431
          46    0.376569    0.368981  0.00124802
          47    0.368737    0.368976  0.00122148
          48    0.377782     0.36916  0.00120973
          49    0.366096    0.369097  0.00118665
          50    0.378018    0.369276  0.00117626
          51    0.376645     0.36942  0.00116203
          52    0.383194    0.369685  0.00116949
          53    0.377276    0.369828  0.00115616
          54    0.369697    0.369826  0.00113475
          55    0.373987    0.369901  0.00111664
          56    0.372121    0.369941   0.0010974
          57    0.379334    0.370106  0.00109045
          58    0.380688    0.370288  0.00108681
          59    0.359555    0.370106  0.00108351
          60    0.377703    0.370233  0.00107282
          61    0.369667    0.370224  0.00105527
          62    0.372129    0.370254   0.0010387
          63    0.368047    0.370219   0.0010228
          64    0.373763    0.370275  0.00100832
          65      0.3754    0.370354 0.000995885
          66    0.358408    0.370173 0.000997106
          67    0.365044    0.370096 0.000985157
          68    0.363911    0.370005 0.000974859
          69    0.365441    0.369939 0.000962972
          70    0.372557    0.369976 0.000949942
          71    0.365547    0.369914 0.000938608
          72    0.364528    0.369839 0.000928548
          73    0.380906    0.369991 0.000928122
          74    0.359159    0.369844  0.00092705
          75       0.366    0.369793 0.000916106
          76    0.372193    0.369825 0.000904596
          77    0.371387    0.369845 0.000893075
          78    0.372669    0.369881 0.000882359
          79    0.380513    0.370016 0.000881393
          80    0.365683    0.369962 0.000872038
          81    0.369731    0.369959 0.000861277
          82    0.354368    0.369769 0.000871507
          83    0.372999    0.369808 0.000861875
          84    0.370803    0.369819 0.000851696
          85       0.369     0.36981 0.000841731
          86     0.36431    0.369746 0.000834369
          87    0.367058    0.369715  0.00082535
          88    0.377973    0.369809 0.000821289
          89    0.359593    0.369694 0.000820042
          90    0.362992     0.36962 0.000814305
          91     0.36843    0.369606 0.000805461
          92    0.367065    0.369579  0.00079718
          93    0.370998    0.369594 0.000788754
          94    0.371275    0.369612 0.000780566
          95    0.365254    0.369566 0.000773696
          96    0.363254      0.3695 0.000768426
          97    0.374514    0.369552  0.00076224
          98    0.361181    0.369467 0.000759233
          99    0.375663    0.369529  0.00075414
         100     0.37355    0.369569  0.00074767
