#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         165       -0.92   -0.921455  0.00537604
         166       -0.92   -0.921446  0.00534366
         167       -0.92   -0.921437  0.00531167
         168       -0.92   -0.921429  0.00528006
         169       -0.84   -0.920947  0.00527075
         170       -0.84   -0.920471  0.00526121
         171       -0.92   -0.920468  0.00523045
         172       -0.92   -0.920465  0.00520004
         173       -0.92   -0.920462  0.00516998
         174       -0.92    -0.92046  0.00514027
         175       -0.92   -0.920457   0.0051109
         176       -0.92   -0.920455  0.00508186
         177       -0.92   -0.920452  0.00505315
         178       -0.92   -0.920449  0.00502476
         179       -0.92   -0.920447  0.00499669
         180       -0.92   -0.920444  0.00496893
         181       -0.92   -0.920442  0.00494148
         182       -0.92    -0.92044  0.00491433
         183       -0.92   -0.920437  0.00488747
         184       -0.92   -0.920435  0.00486091
         185       -0.92   -0.920432  0.00483464
         186       -0.92    -0.92043  0.00480864
         187       -0.92   -0.920428  0.00478293
         188       -0.92   -0.920426  0.00475749
         189       -0.92   -0.920423  0.00473232
         190       -0.92   -0.920421  0.00470741
         191       -0.92   -0.920419  0.00468277
         192       -0.84       -0.92  0.00467707
         193       -0.92       -0.92  0.00465284
         194       -0.84   -0.919588  0.00464709
         195       -0.92    -0.91959  0.00462326
         196       -0.92   -0.919592  0.00459967
         197       -0.92   -0.919594  0.00457633
         198       -0.92   -0.919596  0.00455321
         199       -0.92   -0.919598  0.00453033
         200       -0.92     -0.9196  0.00450768
         201       -0.92   -0.919602  0.00448526
         202       -0.84   -0.919208  0.00448033
         203       -0.92   -0.919212  0.00445826
         204       -0.92   -0.919216  0.00443641
         205       -0.84   -0.918829  0.00443156
         206       -0.84   -0.918447  0.00442654
         207       -0.84   -0.918068  0.00442135
         208       -0.92   -0.918077   0.0044001
         209       -0.92   -0.918086  0.00437906
         210       -0.84   -0.917714  0.00437397
         211       -0.84   -0.917346  0.00436872
         212       -0.84   -0.916981  0.00436332
         213       -0.84    -0.91662  0.00435777
         214       -0.84   -0.916262  0.00435209
         215       -0.84   -0.915907  0.00434628
         216       -0.84   -0.915556  0.00434034
         217       -0.84   -0.915207  0.00433429
         218       -0.84   -0.914862  0.00432811
         219       -0.84   -0.914521  0.00432183
         220       -0.76   -0.913818  0.00435888
         221       -0.84   -0.913484  0.00435194
         222       -0.84   -0.913153   0.0043449
         223       -0.84   -0.912825  0.00433779
         224       -0.84     -0.9125  0.00433059
         225       -0.76   -0.911822  0.00436406
         226       -0.84   -0.911504   0.0043563
         227       -0.84   -0.911189  0.00434849
         228       -0.92   -0.911228  0.00432959
         229       -0.84   -0.910917  0.00432184
         230       -0.92   -0.910957  0.00430323
         231       -0.92   -0.910996  0.00428478
         232       -0.92   -0.911034  0.00426648
         233       -0.92   -0.911073  0.00424835
         234       -0.92   -0.911111  0.00423036
         235       -0.92   -0.911149  0.00421253
         236       -0.92   -0.911186  0.00419485
         237       -0.92   -0.911224  0.00417731
         238       -0.92   -0.911261  0.00415992
         239       -0.92   -0.911297  0.00414268
         240       -0.92   -0.911333  0.00412558
         241       -0.92   -0.911369  0.00410861
         242       -0.92   -0.911405  0.00409179
         243       -0.92    -0.91144   0.0040751
         244       -0.92   -0.911475  0.00405855
         245       -0.92    -0.91151  0.00404214
         246       -0.92   -0.911545  0.00402585
         247       -0.92   -0.911579   0.0040097
         248       -0.92   -0.911613  0.00399368
         249       -0.92   -0.911647  0.00397778
         250       -0.92    -0.91168  0.00396201
         251       -0.92   -0.911713  0.00394636
         252       -0.92   -0.911746  0.00393084
         253       -0.92   -0.911779  0.00391544
         254       -0.92   -0.911811  0.00390016
         255       -0.92   -0.911843  0.00388499
         256       -0.92   -0.911875  0.00386995
         257       -0.92   -0.911907  0.00385502
         258       -0.84   -0.911628  0.00385014
         259       -0.76   -0.911042  0.00387953
         260       -0.92   -0.911077  0.00386476
         261       -0.92   -0.911111   0.0038501
         262       -0.92   -0.911145  0.00383556
         263       -0.92   -0.911179  0.00382112
         264       -0.84   -0.910909  0.00381615
         265       -0.84   -0.910642  0.00381112
         266       -0.84   -0.910376  0.00380603
