#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.233046    0.233046           0
           2     0.23829    0.235668  0.00185416
           3    0.231556    0.234297  0.00166752
           4    0.232108     0.23375  0.00133745
           5    0.232126    0.233425   0.0011087
           6    0.226704    0.232305  0.00137811
           7    0.224581    0.231202  0.00156174
           8    0.225634    0.230506  0.00151369
           9    0.227531    0.230175  0.00138112
          10    0.223274    0.229485   0.0014049
          11    0.223105    0.228905  0.00139177
          12    0.234574    0.229377  0.00135359
          13    0.238978    0.230116  0.00143689
          14    0.219705    0.229372   0.0015145
          15    0.228254    0.229298  0.00141537
          16    0.239476    0.229934  0.00146291
          17     0.23156    0.230029  0.00137998
          18    0.234729    0.230291  0.00132778
          19    0.229823    0.230266  0.00125812
          20    0.230153     0.23026  0.00119523
          21     0.23243    0.230364  0.00114277
          22    0.225919    0.230162  0.00110854
          23    0.232116    0.230247   0.0010636
          24    0.233017    0.230362  0.00102553
          25    0.229341    0.230321  0.00098532
          26    0.231474    0.230365  0.00094842
          27     0.23247    0.230443 0.000916492
          28    0.222951    0.230176 0.000921993
          29    0.226284    0.230042 0.000899915
          30    0.236427    0.230254 0.000894731
          31     0.23006    0.230248 0.000865891
          32    0.232981    0.230334 0.000843033
          33     0.23049    0.230338   0.0008175
          34    0.228149    0.230274 0.000795987
          35    0.230007    0.230266 0.000773281
          36    0.230807    0.230281 0.000751947
          37    0.234842    0.230405  0.00074166
          38    0.230136    0.230398 0.000722176
          39    0.230017    0.230388 0.000703725
          40    0.226606    0.230293 0.000692452
          41    0.231587    0.230325 0.000676281
          42    0.231475    0.230352 0.000660734
          43      0.2283    0.230305  0.00064709
          44    0.232841    0.230362 0.000634946
          45    0.225416    0.230252 0.000630276
          46    0.230908    0.230266 0.000616736
          47    0.230786    0.230278 0.000603713
          48    0.228589    0.230242 0.000592159
          49    0.232257    0.230283   0.0005815
          50    0.226919    0.230216 0.000573749
          51    0.230607    0.230224  0.00056255
          52    0.229976    0.230219 0.000551752
          53    0.232446    0.230261 0.000542939
          54     0.23098    0.230274 0.000533048
          55    0.227497    0.230224 0.000525743
          56    0.228346     0.23019 0.000517423
          57    0.228377    0.230159 0.000509323
          58    0.228994    0.230139 0.000500937
          59    0.227557    0.230095 0.000494354
          60    0.233332    0.230149  0.00048905
          61    0.228178    0.230116 0.000482098
          62    0.231173    0.230133 0.000474623
          63    0.229625    0.230125 0.000467158
          64       0.225    0.230045 0.000466672
          65    0.229541    0.230038 0.000459557
          66    0.231693    0.230063 0.000453278
          67    0.227121    0.230019 0.000448634
          68    0.229088    0.230005 0.000442246
          69    0.229736    0.230001 0.000435853
          70    0.227166    0.229961 0.000431504
          71    0.224049    0.229877 0.000433385
          72    0.227106    0.229839 0.000429071
          73    0.225482    0.229779 0.000427325
          74    0.227841    0.229753 0.000422352
          75    0.225941    0.229702 0.000419768
          76    0.222798    0.229611  0.00042396
          77    0.231865    0.229641 0.000419464
          78    0.234947    0.229709 0.000419566
          79    0.230235    0.229715 0.000414308
          80     0.22835    0.229698 0.000409481
          81    0.229778    0.229699 0.000404426
          82    0.236413    0.229781 0.000407697
          83    0.232822    0.229818 0.000404427
          84    0.233232    0.229858 0.000401649
          85    0.229195    0.229851    0.000397
          86    0.233762    0.229896 0.000394981
          87    0.231648    0.229916 0.000390954
          88    0.223712    0.229846 0.000392816
          89    0.233275    0.229884 0.000390287
          90    0.222968    0.229807 0.000393444
          91    0.232581    0.229838 0.000390299
          92    0.227645    0.229814 0.000386784
          93    0.224587    0.229758 0.000386687
          94    0.233746      0.2298 0.000384894
          95    0.227245    0.229773 0.000381781
          96    0.227688    0.229752 0.000378422
          97    0.230769    0.229762 0.000374666
          98    0.229797    0.229762 0.000370843
          99    0.234083    0.229806 0.000369656
         100    0.231029    0.229818 0.000366162
