#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.412454    0.412454           0
           2    0.354564    0.383509   0.0204673
           3    0.416391     0.39447   0.0163178
           4    0.356542    0.384988   0.0147379
           5    0.370925    0.382175   0.0120557
           6    0.382977    0.382309   0.0100472
           7     0.30394    0.371113   0.0134759
           8    0.365726     0.37044   0.0118082
           9    0.393085    0.372956   0.0107609
          10    0.369953    0.372656  0.00968904
          11    0.404912    0.375588  0.00924131
          12     0.28509    0.368047   0.0111308
          13    0.311972    0.363733   0.0110789
          14    0.414041    0.367327   0.0108547
          15    0.340015    0.365506   0.0102826
          16    0.221731     0.35652   0.0129857
          17    0.274423    0.351691   0.0130891
          18    0.386719    0.353637   0.0125057
          19    0.265113    0.348978   0.0126858
          20    0.334129    0.348235   0.0120732
          21    0.367315    0.349144   0.0115324
          22    0.317982    0.347727   0.0110949
          23    0.355798    0.348078    0.010618
          24     0.32276    0.347023   0.0102279
          25    0.318064    0.345865  0.00988414
          26    0.360376    0.346423  0.00951972
          27    0.358975    0.346888  0.00917849
          28     0.29335    0.344976  0.00904765
          29     0.31306    0.343875  0.00880235
          30    0.343438    0.343861  0.00850895
          31    0.380862    0.345054  0.00831776
          32     0.25097    0.342114   0.0085617
          33    0.332765    0.341831  0.00830694
          34    0.260084    0.339427  0.00840337
          35    0.435904    0.342183   0.0086035
          36    0.302732    0.341087  0.00843401
          37     0.41646    0.343124   0.0084485
          38    0.287954    0.341672  0.00834999
          39    0.329792    0.341368  0.00814144
          40    0.278186    0.339788  0.00808968
          41    0.328672    0.339517  0.00789691
          42    0.322939    0.339122  0.00771875
          43    0.216146    0.336262  0.00805165
          44    0.324435    0.335994  0.00787314
          45    0.341092    0.336107    0.007699
          46    0.340978    0.336213  0.00753236
          47    0.287553    0.335178  0.00744291
          48    0.398686    0.336501  0.00740451
          49    0.267929    0.335101  0.00738446
          50    0.314214    0.334683  0.00724857
          51    0.323576    0.334466  0.00710972
          52    0.307558    0.333948   0.0069918
          53    0.334089    0.333951  0.00685988
          54    0.413165    0.335418   0.0068879
          55    0.281786    0.334443  0.00683134
          56    0.333536    0.334426  0.00670937
          57     0.32238    0.334215  0.00659499
          58     0.41653    0.335634  0.00663223
          59    0.384844    0.336468  0.00657206
          60      0.3094    0.336017  0.00647799
          61    0.392358    0.336941   0.0064373
          62    0.394293    0.337866  0.00639959
          63    0.313894    0.337485  0.00630931
          64    0.301574    0.336924  0.00623563
          65    0.244622    0.335504  0.00629931
          66    0.384487    0.336246  0.00624744
          67    0.287371    0.335517  0.00619664
          68    0.327731    0.335402  0.00610657
          69    0.318758    0.335161  0.00602283
          70    0.297931    0.334629  0.00596022
          71     0.22421    0.333074  0.00607579
          72    0.316057    0.332838    0.005996
          73    0.319408    0.332654  0.00591669
          74    0.249762    0.331534  0.00594182
          75     0.26318    0.330622  0.00593208
          76    0.339353    0.330737  0.00585514
          77    0.316056    0.330547   0.0057822
          78    0.391491    0.331328  0.00576062
          79    0.288894    0.330791  0.00571269
          80    0.277504    0.330125  0.00567998
          81    0.391224    0.330879  0.00565972
          82    0.389998      0.3316  0.00563643
          83    0.239198    0.330487   0.0056774
          84    0.241098    0.329423  0.00570867
          85    0.326968    0.329394  0.00564158
          86    0.289645    0.328931  0.00559489
          87    0.335776     0.32901  0.00553113
          88    0.365662    0.329427  0.00548394
          89    0.441782    0.330689  0.00556573
          90     0.33305    0.330715  0.00550395
          91    0.388355    0.331349  0.00547979
          92    0.382443    0.331904   0.0054483
          93    0.265537     0.33119  0.00543625
          94      0.3671    0.331572  0.00539182
          95    0.235807    0.330564  0.00542848
          96    0.339855    0.330661   0.0053728
          97    0.354867    0.330911   0.0053232
          98    0.308074    0.330678  0.00527398
          99    0.272456     0.33009  0.00525339
         100    0.401746    0.330806   0.0052495
