#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.220379    0.220379           0
           2    0.217143    0.218761  0.00114407
           3     0.21547    0.217664   0.0011765
           4    0.215069    0.217015  0.00104605
           5    0.217375    0.217087 0.000839304
           6    0.208559    0.215666  0.00147409
           7    0.209153    0.214735   0.0015292
           8    0.208782    0.213991  0.00150827
           9    0.208282    0.213357  0.00146804
          10    0.209656    0.212987   0.0013671
          11    0.210068    0.212721   0.0012683
          12     0.21955     0.21329  0.00128393
          13    0.217175    0.213589  0.00121944
          14    0.205283    0.212996  0.00126849
          15    0.211545    0.212899  0.00118761
          16    0.219736    0.213326  0.00118777
          17    0.214342    0.213386   0.0011194
          18    0.211934    0.213306  0.00106012
          19    0.215298     0.21341  0.00100949
          20    0.214332    0.213456 0.000960071
          21    0.213967    0.213481 0.000914661
          22     0.20829    0.213245 0.000903007
          23    0.214574    0.213303 0.000865594
          24    0.211628    0.213233 0.000832335
          25    0.210518    0.213124 0.000806092
          26     0.21213    0.213086 0.000775996
          27    0.210656    0.212996 0.000752455
          28    0.210521    0.212908 0.000730755
          29    0.209589    0.212793 0.000714464
          30    0.217812     0.21296 0.000709962
          31    0.213062    0.212964 0.000687067
          32    0.212779    0.212958 0.000665621
          33     0.21407    0.212992 0.000646303
          34    0.214137    0.213025 0.000628171
          35      0.2141    0.213056 0.000610973
          36    0.214094    0.213085 0.000594681
          37    0.217071    0.213193 0.000588286
          38    0.211983    0.213161 0.000573666
          39    0.210317    0.213088  0.00056357
          40     0.20753    0.212949 0.000566349
          41    0.212526    0.212939  0.00055263
          42    0.213623    0.212955 0.000539712
          43    0.210805    0.212905 0.000529471
          44    0.219993    0.213066 0.000541391
          45      0.2097    0.212991 0.000534501
          46    0.215265    0.213041 0.000525162
          47     0.20826    0.212939 0.000523746
          48    0.212303    0.212926 0.000513002
          49    0.211625    0.212899 0.000503218
          50     0.21094     0.21286 0.000494678
          51    0.208713    0.212779 0.000491617
          52    0.211079    0.212746 0.000483248
          53    0.213912    0.212768 0.000474631
          54    0.214474      0.2128 0.000466892
          55     0.20765    0.212706 0.000467698
          56    0.211547    0.212685 0.000459804
          57    0.211552    0.212665 0.000452167
          58    0.213821    0.212685  0.00044481
          59    0.209835    0.212637 0.000439887
          60    0.213853    0.212657 0.000433022
          61    0.211422    0.212637 0.000426396
          62    0.211867    0.212625   0.0004197
          63    0.212599    0.212624 0.000413038
          64    0.208204    0.212555 0.000412319
          65    0.210654    0.212526 0.000407011
          66    0.211411    0.212509 0.000401195
          67    0.211673    0.212496 0.000395401
          68    0.209111    0.212447 0.000392708
          69    0.209575    0.212405 0.000389216
          70    0.211171    0.212387 0.000384055
          71    0.206185      0.2123 0.000388454
          72    0.214153    0.212326  0.00038391
          73    0.206248    0.212243 0.000387575
          74    0.212787     0.21225 0.000382407
          75    0.208227    0.212196 0.000381051
          76    0.204779    0.212099 0.000388333
          77     0.21409    0.212125  0.00038415
          78    0.215738    0.212171 0.000382008
          79    0.212826    0.212179 0.000377263
          80    0.212872    0.212188 0.000372646
          81    0.213083    0.212199  0.00036821
          82    0.219614    0.212289 0.000374658
          83    0.212301    0.212289 0.000370144
          84    0.217905    0.212356 0.000371726
          85    0.213018    0.212364 0.000367435
          86    0.215987    0.212406 0.000365569
          87    0.212217    0.212404 0.000361373
          88      0.2065    0.212337 0.000363442
          89    0.215054    0.212367 0.000360638
          90    0.207392    0.212312 0.000360843
          91    0.212929    0.212319 0.000356941
          92     0.21115    0.212306 0.000353287
          93    0.206319    0.212242 0.000355307
          94    0.213392    0.212254 0.000351737
          95    0.208535    0.212215 0.000350206
          96    0.213425    0.212228 0.000346785
          97    0.212952    0.212235  0.00034329
          98    0.215032    0.212264 0.000340972
          99    0.213311    0.212274 0.000337691
         100    0.211685    0.212268 0.000334366
