#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.440523    0.440523           0
           2    0.423695    0.432109  0.00594979
           3    0.429195    0.431138  0.00404504
           4    0.404936    0.424587  0.00643308
           5    0.411467    0.421963  0.00565636
           6    0.489121    0.433156   0.0112525
           7    0.446532    0.435067  0.00980592
           8     0.39036    0.429479   0.0100472
           9    0.408091    0.427102  0.00920757
          10    0.417576     0.42615  0.00833595
          11    0.472225    0.430338  0.00856609
          12     0.39542    0.427428  0.00833184
          13    0.441432    0.428506  0.00776025
          14    0.373858    0.424602  0.00812857
          15    0.435367     0.42532  0.00761828
          16    0.381652    0.422591  0.00761534
          17    0.450617    0.424239  0.00734366
          18    0.409044    0.423395  0.00698403
          19    0.426213    0.423543  0.00661802
          20    0.421115    0.423422  0.00628824
          21    0.419663    0.423243  0.00599134
          22    0.446327    0.424292  0.00581016
          23    0.461079    0.425892  0.00577349
          24    0.432455    0.426165   0.0055394
          25    0.413218    0.425647  0.00534198
          26    0.408132    0.424974  0.00517882
          27    0.426659    0.425036  0.00498739
          28    0.418896    0.424817  0.00481409
          29    0.460672    0.426053  0.00480423
          30    0.388385    0.424798  0.00480537
          31    0.415729    0.424505  0.00465925
          32     0.42961    0.424665  0.00451638
          33    0.421352    0.424564  0.00438063
          34    0.403335     0.42394  0.00429606
          35    0.427756    0.424049   0.0041747
          36    0.401742    0.423429  0.00410446
          37    0.410908    0.423091  0.00400746
          38    0.462496    0.424128  0.00403393
          39    0.409107    0.423743  0.00394884
          40     0.40647    0.423311  0.00387366
          41    0.400029    0.422743  0.00382057
          42     0.36778    0.421434  0.00394737
          43    0.440805    0.421885  0.00388119
          44    0.464874    0.422862  0.00391402
          45    0.438444    0.423208  0.00384233
          46    0.437547     0.42352  0.00377143
          47    0.418999    0.423424  0.00369241
          48    0.430144    0.423564  0.00361814
          49    0.438686    0.423872  0.00355744
          50    0.409023    0.423575  0.00349866
          51    0.369331    0.422512  0.00358809
          52     0.45449    0.423127   0.0035714
          53    0.416715    0.423006  0.00350607
          54    0.418393     0.42292  0.00344218
          55     0.43163    0.423079  0.00338324
          56    0.377485    0.422264  0.00341938
          57    0.404211    0.421948  0.00337403
          58    0.428547    0.422061  0.00331777
          59    0.452096     0.42257  0.00330036
          60    0.377015    0.421811  0.00333154
          61    0.460857    0.422451  0.00333785
          62    0.402921    0.422136  0.00329885
          63    0.388179    0.421597  0.00329022
          64     0.41777    0.421538  0.00323936
          65    0.379857    0.420896  0.00325237
          66    0.397037    0.420535  0.00322312
          67    0.448731    0.420956  0.00320237
          68    0.419515    0.420934  0.00315534
          69     0.47837    0.421767  0.00321754
          70    0.414472    0.421663  0.00317326
          71    0.424162    0.421698  0.00312876
          72    0.440542     0.42196  0.00309624
          73    0.419461    0.421925  0.00305401
          74    0.420411    0.421905  0.00301281
          75    0.400326    0.421617  0.00298634
          76    0.401357    0.421351  0.00295893
          77    0.433826    0.421513  0.00292493
          78    0.381505       0.421  0.00293206
          79    0.422082    0.421013  0.00289498
          80      0.3943    0.420679  0.00287798
          81    0.365571    0.419999  0.00292176
          82    0.451307    0.420381  0.00291097
          83    0.389271    0.420006  0.00289993
          84    0.449683    0.420359  0.00288685
          85    0.444006    0.420638  0.00286626
          86    0.370998     0.42006  0.00289046
          87    0.427818     0.42015  0.00285862
          88    0.438993    0.420364  0.00283414
          89    0.409612    0.420243  0.00280487
          90    0.429711    0.420348  0.00277568
          91    0.401917    0.420146  0.00275255
          92    0.378797    0.419696  0.00275908
          93    0.434702    0.419857  0.00273413
          94     0.41047    0.419758  0.00270687
          95    0.451922    0.420096  0.00269946
          96    0.457241    0.420483  0.00269893
          97    0.439607     0.42068   0.0026783
          98    0.424204    0.420716  0.00265121
          99    0.418109     0.42069  0.00262456
         100    0.404677     0.42053   0.0026032
