#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     1.38009     1.32712  0.00206277
         169     1.35503     1.32729  0.00205716
         170     1.35606     1.32746  0.00205201
         171     1.39402     1.32785   0.0020766
         172     1.39179     1.32822  0.00209753
         173     1.37246     1.32847  0.00210094
         174     1.39188     1.32884  0.00212024
         175     1.41783     1.32935  0.00216825
         176     1.40293     1.32976  0.00219587
         177     1.38594     1.33008  0.00220628
         178     1.39019     1.33042  0.00221958
         179      1.3881     1.33074  0.00223045
         180     1.38758     1.33106   0.0022403
         181     1.37426      1.3313   0.0022406
         182     1.35046      1.3314  0.00223076
         183      1.3479     1.33149  0.00222039
         184     1.35117      1.3316   0.0022109
         185     1.32308     1.33155  0.00219943
         186     1.31476     1.33146  0.00218946
         187     1.34012     1.33151  0.00217824
         188     1.33221     1.33151  0.00216665
         189     1.29932     1.33134  0.00216188
         190     1.27716     1.33106  0.00216922
         191      1.2725     1.33075  0.00217942
         192     1.27346     1.33045   0.0021884
         193      1.2915     1.33025  0.00218635
         194     1.28716     1.33003  0.00218633
         195     1.28167     1.32978  0.00218914
         196      1.3011     1.32963  0.00218286
         197     1.31172     1.32954  0.00217367
         198     1.31444     1.32947  0.00216403
         199     1.31682      1.3294  0.00215409
         200     1.31619     1.32934  0.00214433
