#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.37291     1.37291           0
           2     1.39568     1.38429  0.00805327
           3     1.42337     1.39732   0.0119144
           4     1.40806     1.40001  0.00923318
           5     1.40494     1.40099  0.00743921
           6     1.42447     1.40491  0.00715497
           7      1.4438     1.41046  0.00800463
           8     1.46078     1.41675  0.00914756
           9     1.46798     1.42244   0.0097422
          10     1.47704      1.4279   0.0101833
          11      1.4985     1.43432   0.0110973
          12     1.52848     1.44217   0.0126459
          13     1.53821     1.44956   0.0136618
          14     1.59221     1.45975   0.0160419
          15     1.62761     1.47094    0.018468
          16     1.67945     1.48397   0.0214239
          17     1.79263     1.50213   0.0267738
          18     1.97149      1.5282   0.0357989
          19      2.0907     1.55781   0.0445034
          20     2.01827     1.58083   0.0478646
