#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.05936     2.05936           0
           2     2.09353     2.07644   0.0120799
           3     2.13506     2.09598   0.0178716
           4     2.11209     2.10001   0.0138498
           5     2.10742     2.10149   0.0111588
           6     2.13671     2.10736   0.0107325
           7      2.1657     2.11569   0.0120069
           8     2.19118     2.12513   0.0137213
           9     2.20197     2.13367   0.0146133
          10     2.21555     2.14186    0.015275
          11     2.24776     2.15148    0.016646
          12     2.29272     2.16325   0.0189689
          13     2.30732     2.17433   0.0204927
          14     2.38831     2.18962   0.0240628
          15     2.44142     2.20641    0.027702
          16     2.51917     2.22595   0.0321358
          17     2.68894     2.25319   0.0401607
          18     2.95723      2.2923   0.0536984
          19     3.13605     2.33671   0.0667551
          20     3.02741     2.37124   0.0717969
