#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.02766     3.02766           0
           2     3.13675     3.08221   0.0385681
           3     2.95813     3.04085   0.0424449
           4     2.69025      2.9532   0.0823112
           5     2.51967     2.86649    0.101737
           6     2.44278     2.79587    0.106507
           7      2.3916     2.73812    0.105797
           8     2.31077      2.6847    0.105198
           9     2.29348     2.64123    0.102096
          10     2.24012     2.60112   0.0994538
          11     2.18644     2.56342   0.0972954
          12     2.16024     2.52982   0.0948114
          13     2.14365     2.50012   0.0920543
          14     2.14621     2.47484   0.0888821
          15     2.12745     2.45168    0.085921
          16     2.13334     2.43178   0.0828225
          17     2.13209     2.41415   0.0798048
          18     2.13788     2.39881   0.0768331
          19     2.14362     2.38538   0.0739537
          20     2.12614     2.37241   0.0713829
