#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152   -0.348591   -0.430919   0.0147014
         153   -0.387937   -0.430638    0.014608
         154    -0.38871   -0.430366   0.0145157
         155     -0.4105   -0.430238   0.0144226
         156   -0.392961   -0.429999   0.0143322
         157   -0.363276   -0.429574   0.0142472
         158   -0.404633   -0.429416   0.0141579
         159   -0.404119   -0.429257   0.0140697
         160   -0.385818   -0.428985   0.0139844
         161   -0.373981   -0.428644   0.0139017
         162   -0.376279   -0.428321   0.0138197
         163   -0.355222   -0.427872   0.0137422
         164   -0.365431   -0.427491   0.0136636
         165   -0.367049   -0.427125   0.0135857
         166   -0.374402   -0.426807   0.0135076
         167   -0.364708   -0.426436   0.0134318
         168   -0.374162   -0.426124   0.0133555
         169    -0.40563   -0.426003    0.013277
         170   -0.380633   -0.425736   0.0132016
         171   -0.341112   -0.425241   0.0131337
         172   -0.347945   -0.424792    0.013065
         173    -0.39076   -0.424595    0.012991
         174   -0.352711   -0.424182   0.0129229
         175   -0.346511   -0.423738   0.0128566
         176   -0.364254     -0.4234    0.012788
         177   -0.380607   -0.423159   0.0127181
         178   -0.381279   -0.422923   0.0126488
         179   -0.334281   -0.422428   0.0125878
         180   -0.317861   -0.421847   0.0125313
         181   -0.306886   -0.421212   0.0124781
         182   -0.314587   -0.420626   0.0124233
         183   -0.303727   -0.419987   0.0123719
         184   -0.284383    -0.41925   0.0123265
         185   -0.284741   -0.418523   0.0122813
         186   -0.313416   -0.417958   0.0122283
         187   -0.343977   -0.417563   0.0121693
         188   -0.352579   -0.417217   0.0121095
         189   -0.376933   -0.417004   0.0120473
         190    -0.35874   -0.416697   0.0119878
         191   -0.355291   -0.416376   0.0119293
         192   -0.353176   -0.416046   0.0118717
         193   -0.336793   -0.415636   0.0118173
         194   -0.341828   -0.415255   0.0117625
         195   -0.343673   -0.414888   0.0117079
         196   -0.349759   -0.414556   0.0116529
         197   -0.343568   -0.414196   0.0115993
         198   -0.333522   -0.413788   0.0115479
         199   -0.375962   -0.413598   0.0114914
         200   -0.382772   -0.413444    0.011435
