#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.02741     3.02741           0
           2     3.13605     3.08173   0.0384109
           3     2.95723     3.04023   0.0424727
           4     2.68894     2.95241   0.0824576
           5     2.51917     2.86576    0.101773
           6     2.44142     2.79504    0.106588
           7     2.38831     2.73693    0.106022
           8     2.30732     2.68323    0.105497
           9     2.29272     2.63984    0.102309
          10     2.24776     2.60063   0.0993077
          11     2.21555     2.56563   0.0962524
          12     2.20197     2.53532   0.0928796
          13     2.19118     2.50885   0.0894281
          14      2.1657     2.48434    0.086334
          15     2.13671     2.46116   0.0836311
          16     2.10742     2.43905   0.0812741
          17     2.11209     2.41982   0.0787362
          18     2.13506       2.404   0.0759346
          19     2.09353     2.38766   0.0736753
          20     2.05936     2.37124   0.0717969
          21     2.03762     2.35536   0.0701137
          22     2.01457     2.33987   0.0686165
          23     1.99241     2.32476   0.0672756
          24     2.00703     2.31152   0.0657621
          25     2.00663     2.29933   0.0642525
          26     2.02503     2.28878   0.0626414
          27     2.03423     2.27935   0.0610267
          28     2.02866      2.2704   0.0595003
          29     2.01297     2.26152   0.0581069
          30     1.99884     2.25276   0.0568259
          31     1.99027      2.2443   0.0556201
          32     1.97445     2.23586   0.0545175
          33     1.99334     2.22851   0.0533584
          34     2.05185     2.22332   0.0520415
          35      2.0896      2.2195   0.0506946
          36     2.05026      2.2148   0.0495039
          37     2.02606     2.20969   0.0484281
          38     2.02199     2.20476   0.0474049
          39     2.00383      2.1996   0.0464685
          40     1.98764      2.1943   0.0456079
          41     1.99741      2.1895   0.0447477
          42     1.98102     2.18454   0.0439567
          43     1.96808      2.1795   0.0432217
          44     1.95824     2.17448   0.0425309
          45     1.97385     2.17002   0.0418188
          46     1.98245     2.16594    0.041108
          47     1.96545     2.16167   0.0404541
          48     1.92378     2.15672   0.0399137
          49     1.93246     2.15214   0.0393607
          50      1.9637     2.14837   0.0387535
          51     1.95559     2.14459   0.0381775
          52     1.93721      2.1406   0.0376511
          53     1.96496     2.13729   0.0370862
          54     1.98786     2.13452   0.0365025
          55     1.98509     2.13181   0.0359398
          56     2.00882     2.12961   0.0353651
          57     1.99578     2.12726   0.0348225
          58     1.99712     2.12502   0.0342943
          59     2.01286     2.12312   0.0337657
          60     2.02301     2.12145   0.0332441
          61     2.02658     2.11989   0.0327355
          62     2.00705     2.11807   0.0322581
          63     1.99101     2.11606    0.031809
          64     1.99006     2.11409   0.0313729
          65     2.00005     2.11233   0.0309392
          66      2.0263     2.11103   0.0304979
          67     2.00546     2.10945   0.0300834
          68     1.99272     2.10774   0.0296899
          69      1.9999     2.10617   0.0293008
          70     1.96166     2.10411   0.0289548
          71     1.95428       2.102   0.0286238
          72     1.98763     2.10041   0.0282703
          73     2.00755     2.09914   0.0279116
          74     1.98245     2.09756   0.0275789
          75     1.94106     2.09548     0.02729
          76     1.94114     2.09344   0.0270064
          77     1.94359      2.0915   0.0267257
          78     1.93656     2.08951   0.0264568
          79     1.94362     2.08767   0.0261863
          80      1.9573     2.08604   0.0259096
          81     1.92955      2.0841   0.0256617
          82     1.95621     2.08254   0.0253961
          83     1.97076      2.0812   0.0251258
          84     1.96308     2.07979    0.024866
          85     1.94807     2.07824   0.0246217
          86     1.91803     2.07638   0.0244057
          87     1.93946     2.07481   0.0241759
          88     1.94785     2.07336   0.0239442
          89     1.93354     2.07179   0.0237266
          90      1.9163     2.07006   0.0235258
          91      1.9124     2.06833    0.023331
          92     1.92134     2.06673   0.0231321
          93     1.96221     2.06561   0.0229106
          94     1.98621     2.06476   0.0226825
          95     1.97904     2.06386   0.0224616
          96     1.95472     2.06273   0.0222564
          97     1.97421     2.06181   0.0220457
          98     1.99697     2.06115   0.0218306
          99     1.98433     2.06038   0.0216239
         100     1.99633     2.05973   0.0214172
         101     2.00874     2.05923   0.0212111
         102     1.98534     2.05851   0.0210155
         103     1.98985     2.05784    0.020822
         104     1.99746     2.05726   0.0206299
         105     1.99471     2.05666    0.020442
         106     1.99409     2.05607   0.0202577
         107     1.96106     2.05518   0.0200878
         108     1.91894     2.05392   0.0199414
         109     1.91012      2.0526    0.019802
         110     1.94287     2.05161   0.0196471
         111     1.97385     2.05091   0.0194826
         112     1.97389     2.05022   0.0193208
         113     1.95808      2.0494    0.019167
         114     1.92832     2.04834   0.0190283
         115     1.93194     2.04733   0.0188897
         116     1.96817     2.04665   0.0187392
         117     1.97247     2.04601   0.0185897
         118     1.98754     2.04552   0.0184388
         119       1.997     2.04511   0.0182884
         120      2.0028     2.04476   0.0181394
         121     1.98233     2.04424   0.0179968
         122     2.00299      2.0439   0.0178524
         123     2.00826     2.04361   0.0177097
         124     2.03335     2.04353    0.017567
         125     2.05691     2.04364   0.0174268
         126     1.99753     2.04327   0.0172924
         127     1.93806     2.04244    0.017176
         128     1.92859     2.04155   0.0170649
         129     1.93352     2.04072   0.0169531
         130     1.93865     2.03993   0.0168409
         131     1.93359     2.03912   0.0167319
         132     1.94453      2.0384   0.0166204
         133     1.95681     2.03779   0.0165068
         134     1.97366     2.03731   0.0163906
         135     1.98549     2.03693   0.0162736
         136      1.9879     2.03657    0.016158
         137     1.99582     2.03627   0.0160428
         138     1.99166     2.03594   0.0159298
         139     1.95723     2.03538   0.0158252
         140     1.93473     2.03466   0.0157285
         141     1.96182     2.03414   0.0156254
         142     1.95864     2.03361   0.0155244
         143     1.89386     2.03263   0.0154466
         144     1.89927     2.03171   0.0153671
         145     1.93792     2.03106   0.0152747
         146      1.9685     2.03063   0.0151761
         147     1.97814     2.03028   0.0150771
