#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -0.32059    -0.32059           0
           2   -0.327861   -0.324225  0.00257061
           3    -0.35154    -0.33333  0.00762901
           4   -0.364435   -0.341106  0.00883688
           5   -0.369491   -0.346783  0.00870401
           6   -0.340879   -0.345799  0.00730876
           7   -0.329101   -0.343414  0.00664252
           8   -0.331155   -0.341881  0.00598634
           9   -0.320216   -0.339474  0.00578497
          10   -0.331575   -0.338684  0.00526013
          11   -0.341643   -0.338953  0.00478881
          12   -0.373923   -0.341867  0.00520138
          13   -0.401893   -0.346485  0.00653698
          14   -0.393695   -0.349857  0.00688512
          15   -0.352527   -0.350035  0.00642842
          16   -0.358042   -0.350535  0.00604609
          17   -0.366169   -0.351455  0.00575995
          18    -0.38535   -0.353338  0.00573951
          19   -0.412513   -0.356453  0.00622536
          20   -0.405623   -0.358911  0.00638111
          21   -0.395968   -0.360676  0.00631652
          22   -0.396539   -0.362306  0.00623622
          23   -0.367275   -0.362522  0.00596882
          24   -0.366125   -0.362672  0.00572201
          25   -0.396867    -0.36404  0.00565425
          26   -0.381144   -0.364698  0.00547491
          27   -0.365067   -0.364711  0.00527216
          28   -0.362745   -0.364641  0.00508433
          29   -0.376176   -0.365039  0.00492454
          30   -0.393781   -0.365997  0.00485269
          31    -0.38803   -0.366708  0.00474792
          32   -0.403706   -0.367864  0.00473823
          33   -0.400932   -0.368866  0.00469941
          34   -0.395154   -0.369639  0.00462436
          35   -0.364963   -0.369505  0.00449417
          36   -0.377781   -0.369735   0.0043752
          37   -0.417861   -0.371036  0.00444609
          38   -0.385303   -0.371411  0.00434491
          39   -0.378632   -0.371597  0.00423745
          40   -0.393636   -0.372148  0.00416718
          41   -0.406561   -0.372987  0.00414921
          42    -0.46475   -0.375172  0.00458975
          43   -0.508699   -0.378277  0.00543285
          44   -0.503086   -0.381114  0.00600439
          45   -0.481079   -0.383335  0.00626844
          46   -0.470815   -0.385237  0.00641416
          47   -0.427506   -0.386136  0.00634043
          48   -0.422827   -0.386901  0.00625425
          49   -0.414106   -0.387456   0.0061512
          50   -0.405574   -0.387818  0.00603884
          51   -0.412896    -0.38831  0.00594042
          52   -0.423553   -0.388988  0.00586471
          53   -0.431933   -0.389798  0.00580977
          54   -0.450646   -0.390925  0.00581042
          55   -0.443523   -0.391881  0.00578295
          56   -0.386042   -0.391777  0.00568062
          57   -0.424041   -0.392343  0.00560909
          58    -0.47962   -0.393848  0.00571066
          59    -0.47098   -0.395155  0.00576157
          60   -0.424859    -0.39565  0.00568678
          61   -0.418521   -0.396025   0.0056059
          62   -0.417866   -0.396377  0.00552654
          63   -0.435905   -0.397005  0.00547431
          64   -0.443871   -0.397737  0.00543753
          65   -0.443743   -0.398445  0.00539975
          66   -0.450964    -0.39924  0.00537625
          67    -0.47371   -0.400352  0.00540968
          68   -0.449286   -0.401072  0.00537777
          69   -0.403481   -0.401106  0.00529995
          70   -0.375922   -0.400747  0.00523643
          71   -0.373048   -0.400357  0.00517719
          72   -0.352176   -0.399687  0.00514835
          73    -0.32639   -0.398683  0.00517481
          74   -0.309917   -0.397484  0.00524207
          75   -0.315544   -0.396391   0.0052848
          76   -0.326546   -0.395472  0.00529457
          77   -0.363651   -0.395059  0.00524191
          78   -0.367312   -0.394703  0.00518676
          79   -0.364702   -0.394323  0.00513499
          80   -0.419104   -0.394633  0.00508014
          81   -0.453283   -0.395357  0.00506876
          82   -0.444702   -0.395959  0.00504254
          83   -0.398337   -0.395988  0.00498187
          84   -0.363975   -0.395607  0.00493711
          85   -0.359189   -0.395178  0.00489758
          86   -0.366436   -0.394844  0.00485203
          87    -0.41753   -0.395105  0.00480326
          88   -0.416634   -0.395349   0.0047549
          89   -0.394185   -0.395336  0.00470149
          90    -0.39528   -0.395336  0.00464925
          91   -0.404625   -0.395438  0.00459928
          92   -0.365814   -0.395116  0.00456055
          93   -0.357892   -0.394715  0.00452904
          94   -0.359262   -0.394338  0.00449654
          95   -0.340818   -0.393775  0.00448436
          96   -0.368893   -0.393516  0.00444513
          97   -0.385201    -0.39343  0.00440013
          98   -0.401876   -0.393516  0.00435608
          99   -0.451169   -0.394099  0.00435083
         100   -0.506647   -0.395224  0.00445051
         101   -0.488882   -0.396151  0.00450202
         102   -0.456132   -0.396739  0.00449612
         103   -0.414769   -0.396914  0.00445587
         104   -0.401531   -0.396959  0.00441325
         105   -0.393824   -0.396929  0.00437132
         106   -0.399867   -0.396957  0.00433017
         107      -0.404   -0.397023   0.0042902
         108   -0.406326   -0.397109  0.00425134
         109   -0.414184   -0.397265  0.00421522
         110    -0.43293    -0.39759  0.00418935
         111   -0.429969   -0.397881  0.00416176
         112   -0.396205   -0.397866  0.00412462
         113   -0.398208   -0.397869  0.00408812
         114   -0.416242    -0.39803  0.00405544
         115   -0.426449   -0.398278   0.0040277
         116    -0.41945    -0.39846  0.00399711
         117   -0.404804   -0.398514  0.00396331
         118   -0.411064   -0.398621  0.00393115
         119   -0.376768   -0.398437   0.0039024
         120   -0.349179   -0.398027  0.00389141
         121   -0.372065   -0.397812  0.00386516
         122   -0.376811    -0.39764  0.00383731
         123   -0.366587   -0.397387  0.00381441
         124   -0.372525   -0.397187  0.00378891
         125   -0.393269   -0.397156  0.00375873
         126   -0.400951   -0.397186  0.00372902
         127   -0.387494   -0.397109  0.00370044
         128   -0.412214   -0.397227  0.00367341
         129   -0.453533   -0.397664  0.00367078
         130   -0.398632   -0.397671  0.00364255
         131   -0.362274   -0.397401  0.00362475
         132   -0.360407   -0.397121  0.00360811
         133   -0.341555   -0.396703  0.00360509
         134   -0.342878   -0.396301  0.00360049
