#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.43701    -1.43701           0
           2    -1.54442    -1.49072   0.0379758
           3    -1.36484    -1.44876   0.0425988
           4    -1.09483    -1.36028   0.0830206
           5   -0.925292    -1.27328    0.102303
           6   -0.846816     -1.2022    0.107135
           7   -0.793202    -1.14377    0.106579
           8   -0.711832    -1.08978    0.106054
           9   -0.697098    -1.04615    0.102855
          10   -0.651455    -1.00668   0.0998556
          11   -0.619306   -0.971464   0.0967886
          12     -0.6056   -0.940975   0.0934015
          13   -0.594841    -0.91435   0.0899318
          14   -0.569107    -0.88969   0.0868233
          15   -0.540193    -0.86639   0.0841033
          16   -0.510813   -0.844166   0.0817304
          17   -0.515533   -0.824835   0.0791759
          18   -0.538618   -0.808934   0.0763572
          19   -0.496825   -0.792507   0.0740843
          20   -0.462645   -0.776014   0.0721926
