#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.01827     2.01827           0
           2      2.0907     2.05449   0.0256073
           3     1.97149     2.02682   0.0283152
           4     1.79263     1.96827   0.0549718
           5     1.67945     1.91051   0.0678487
           6     1.62761     1.86336   0.0710587
           7     1.59221     1.82462   0.0706812
           8     1.53821     1.78882    0.070331
           9     1.52848     1.75989   0.0682062
          10      1.4985     1.73376   0.0662051
          11     1.47704     1.71042   0.0641682
          12     1.46798     1.69021   0.0619198
          13     1.46078     1.67257   0.0596188
          14      1.4438     1.65623    0.057556
          15     1.42447     1.64077   0.0557541
          16     1.40494     1.62604   0.0541827
          17     1.40806     1.61321   0.0524908
          18     1.42337     1.60267   0.0506231
          19     1.39568     1.59177   0.0491169
          20     1.37291     1.58083   0.0478646
          21     1.35841     1.57024   0.0467425
          22     1.34305     1.55991   0.0457443
          23     1.32827     1.54984   0.0448504
          24     1.33802     1.54101   0.0438414
          25     1.33775     1.53288    0.042835
          26     1.35002     1.52585   0.0417609
          27     1.35616     1.51957   0.0406844
          28     1.35244      1.5136   0.0396668
          29     1.34198     1.50768   0.0387379
          30     1.33256     1.50184   0.0378839
          31     1.32685      1.4962     0.03708
          32      1.3163     1.49057    0.036345
          33      1.3289     1.48568   0.0355723
          34      1.3679     1.48221   0.0346943
          35     1.39306     1.47966   0.0337964
          36     1.36684     1.47653   0.0330026
          37     1.35071     1.47313   0.0322854
          38     1.34799     1.46984   0.0316033
          39     1.33589      1.4664    0.030979
          40     1.32509     1.46287   0.0304053
          41     1.33161     1.45967   0.0298318
          42     1.32068     1.45636   0.0293045
          43     1.31205       1.453   0.0288145
          44     1.30549     1.44965    0.028354
          45      1.3159     1.44668   0.0278792
          46     1.32164     1.44396   0.0274053
          47      1.3103     1.44112   0.0269694
          48     1.28252     1.43781   0.0266092
          49     1.28831     1.43476   0.0262405
          50     1.30914     1.43225   0.0258356
          51     1.30372     1.42973   0.0254517
          52     1.29147     1.42707   0.0251007
          53     1.30997     1.42486   0.0247242
          54     1.32524     1.42302    0.024335
          55     1.32339      1.4212   0.0239599
          56     1.33921     1.41974   0.0235767
          57     1.33052     1.41817    0.023215
          58     1.33142     1.41668   0.0228629
          59     1.34191     1.41541   0.0225105
          60     1.34867      1.4143   0.0221628
          61     1.35106     1.41326   0.0218237
          62     1.33803     1.41205   0.0215054
          63     1.32734      1.4107    0.021206
          64      1.3267     1.40939   0.0209153
          65     1.33337     1.40822   0.0206262
          66     1.35087     1.40735   0.0203319
          67     1.33697      1.4063   0.0200556
          68     1.32848     1.40516   0.0197933
          69     1.33326     1.40412   0.0195338
          70     1.30777     1.40274   0.0193032
          71     1.30286     1.40133   0.0190825
          72     1.32509     1.40027   0.0188469
          73     1.33837     1.39943   0.0186077
          74     1.32164     1.39837    0.018386
          75     1.29404     1.39698   0.0181934
          76     1.29409     1.39563   0.0180043
          77     1.29573     1.39433   0.0178171
          78     1.29104     1.39301   0.0176379
          79     1.29575     1.39178   0.0174575
          80     1.30486     1.39069   0.0172731
          81     1.28637      1.3894   0.0171078
          82     1.30414     1.38836   0.0169307
          83     1.31384     1.38747   0.0167505
          84     1.30872     1.38653   0.0165773
          85     1.29871     1.38549   0.0164144
          86     1.27869     1.38425   0.0162705
          87     1.29297      1.3832   0.0161173
          88     1.29856     1.38224   0.0159628
          89     1.28903     1.38119   0.0158178
          90     1.27753     1.38004   0.0156839
          91     1.27493     1.37889    0.015554
          92     1.28089     1.37782   0.0154214
          93     1.30814     1.37707   0.0152737
          94     1.32414     1.37651   0.0151216
          95     1.31936     1.37591   0.0149744
          96     1.30315     1.37515   0.0148376
          97     1.31614     1.37454   0.0146971
          98     1.33131      1.3741   0.0145538
          99     1.32289     1.37358   0.0144159
         100     1.33088     1.37316   0.0142781
         101     1.33916     1.37282   0.0141407
         102     1.32356     1.37234   0.0140103
         103     1.32657     1.37189   0.0138813
         104     1.33164     1.37151   0.0137533
         105     1.32981     1.37111    0.013628
         106     1.32939     1.37071   0.0135051
         107     1.30737     1.37012   0.0133919
         108      1.2793     1.36928   0.0132943
         109     1.27341      1.3684   0.0132014
         110     1.29525     1.36774   0.0130981
         111      1.3159     1.36727   0.0129884
         112     1.31593     1.36681   0.0128805
         113     1.30539     1.36627    0.012778
         114     1.28555     1.36556   0.0126855
         115     1.28796     1.36489   0.0125931
         116     1.31211     1.36443   0.0124928
         117     1.31498     1.36401   0.0123932
         118     1.32503     1.36368   0.0122925
         119     1.33133     1.36341   0.0121922
         120      1.3352     1.36317   0.0120929
         121     1.32155     1.36283   0.0119979
         122     1.33533      1.3626   0.0119016
         123     1.33884     1.36241   0.0118064
         124     1.35557     1.36235   0.0117114
         125     1.37127     1.36242   0.0116179
         126     1.33168     1.36218   0.0115282
         127     1.29204     1.36163   0.0114507
         128     1.28572     1.36104   0.0113766
         129     1.28902     1.36048   0.0113021
         130     1.29244     1.35995   0.0112272
         131     1.28906     1.35941   0.0111546
         132     1.29635     1.35893   0.0110803
         133     1.30454     1.35853   0.0110045
         134     1.31577     1.35821    0.010927
         135     1.32366     1.35795   0.0108491
         136     1.32527     1.35771    0.010772
         137     1.33055     1.35751   0.0106952
         138     1.32778      1.3573   0.0106198
         139     1.30482     1.35692   0.0105501
         140     1.28982     1.35644   0.0104857
         141     1.30788      1.3561    0.010417
         142     1.30576     1.35574   0.0103496
         143     1.26258     1.35509   0.0102977
         144     1.26618     1.35447   0.0102447
         145     1.29194     1.35404   0.0101831
         146     1.31234     1.35376   0.0101174
         147     1.31876     1.35352   0.0100514
         148     1.29465     1.35312  0.00999132
         149     1.29159     1.35271   0.0099328
         150     1.29515     1.35232  0.00987399
         151     1.28491     1.35188  0.00981869
         152     1.29661     1.35151  0.00976082
         153     1.32304     1.35133   0.0096988
         154     1.32335     1.35114  0.00963752
         155     1.33795     1.35106  0.00957572
         156     1.32647      1.3509  0.00951563
         157     1.30636     1.35062  0.00945925
         158     1.33386     1.35051  0.00939998
         159     1.33366     1.35041  0.00934146
         160     1.32159     1.35023  0.00928481
         161     1.31359        1.35  0.00922993
         162     1.31516     1.34978  0.00917546
         163     1.30109     1.34948  0.00912403
         164     1.30799     1.34923   0.0090719
         165     1.30903     1.34899  0.00902019
         166     1.31392     1.34878  0.00896832
         167     1.30748     1.34853  0.00891803
         168     1.31361     1.34832  0.00886737
         169     1.33467     1.34824  0.00881527
         170     1.31818     1.34806  0.00876519
         171     1.29176     1.34773  0.00872011
         172     1.29603     1.34743  0.00867459
         173     1.32478      1.3473  0.00862544
         174     1.29956     1.34703  0.00858023
         175     1.29515     1.34673  0.00853632
         176     1.30693     1.34651  0.00849081
         177     1.31806     1.34635  0.00844436
         178     1.31841     1.34619  0.00839838
         179     1.28731     1.34586   0.0083579
         180     1.27628     1.34547  0.00832041
         181     1.26894     1.34505  0.00828517
         182     1.27405     1.34466  0.00824883
         183     1.26682     1.34423  0.00821471
         184     1.25396     1.34374   0.0081847
         185     1.25421     1.34326  0.00815476
         186     1.27332     1.34288  0.00811958
         187     1.29357     1.34262  0.00808044
         188     1.29957     1.34239   0.0080407
         189     1.31553     1.34225  0.00799942
         190     1.30362     1.34205   0.0079599
         191     1.30115     1.34183   0.0079211
         192     1.29982     1.34161  0.00788287
         193      1.2891     1.34134  0.00784672
         194     1.29205     1.34109  0.00781038
         195     1.29345     1.34084  0.00777415
         196     1.29758     1.34062  0.00773762
         197     1.29342     1.34038  0.00770205
         198     1.28672     1.34011  0.00766792
         199     1.31493     1.33998  0.00763043
         200     1.31965     1.33988  0.00759296
