#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.91701     1.91701           0
           2     1.92444     1.92073   0.0026257
           3     1.94775     1.92973  0.00755932
           4     1.96089     1.93752  0.00881126
           5     1.96612     1.94324  0.00870972
           6     1.93747     1.94228  0.00731099
           7     1.92551     1.93988  0.00664768
           8     1.92764     1.93835  0.00599044
           9     1.91676     1.93595  0.00578547
          10     1.92816     1.93518   0.0052591
          11     1.93784     1.93542  0.00478656
          12     1.97029     1.93832  0.00519533
          13     1.99826     1.94293  0.00652867
          14     1.99063     1.94634  0.00689407
          15     1.94896     1.94652  0.00643668
          16     1.95464     1.94702  0.00605437
          17      1.9628     1.94795  0.00576892
          18     1.98187     1.94984  0.00574797
          19     2.00917     1.95296  0.00623633
          20     2.00246     1.95543  0.00639681
          21     1.99267     1.95721  0.00633317
          22     1.99321     1.95884   0.0062532
          23      1.9641     1.95907  0.00598549
          24     1.96281     1.95923  0.00573812
          25     1.99326     1.96059  0.00566778
          26      1.9778     1.96125   0.0054883
          27     1.96167     1.96127  0.00528505
          28     1.95932      1.9612  0.00509676
          29     1.97262     1.96159   0.0049362
          30     1.99026     1.96255  0.00486326
          31     1.98462     1.96326  0.00475821
          32     2.00017     1.96441  0.00474728
          33     1.99742     1.96541  0.00470765
          34     1.99185     1.96619  0.00463298
          35     1.96142     1.96605  0.00450261
          36     1.97412     1.96628  0.00438312
          37      2.0141     1.96757  0.00445115
          38     1.98174     1.96794  0.00434961
          39     1.97488     1.96812  0.00424172
          40        1.99     1.96867   0.0041708
          41     2.00278      1.9695  0.00415123
          42     2.06074     1.97167  0.00458576
          43      2.1047     1.97477  0.00542321
          44     2.09952      1.9776  0.00599549
          45     2.07732     1.97982  0.00625841
          46     2.06725     1.98172  0.00640448
          47     2.02417     1.98262  0.00633158
          48     2.01895     1.98338  0.00624474
          49     2.01058     1.98393  0.00614192
          50     2.00179     1.98429  0.00602945
          51     2.00915     1.98478   0.0059309
          52        2.02     1.98545  0.00585539
          53     2.02802     1.98626  0.00579971
          54     2.04699     1.98738  0.00580032
          55     2.03991     1.98834  0.00577296
          56     1.98255     1.98823  0.00567079
          57      2.0203      1.9888  0.00559914
          58     2.07572      1.9903  0.00569963
          59     2.06755      1.9916  0.00575145
          60     2.02157      1.9921  0.00567723
          61      2.0148     1.99248  0.00559634
          62     2.01435     1.99283  0.00551718
          63     2.03222     1.99345  0.00546492
          64      2.0404     1.99419  0.00542854
          65     2.04036      1.9949   0.0053913
          66     2.04749     1.99569  0.00536816
          67     2.07023     1.99681  0.00540208
          68      2.0461     1.99753  0.00537105
          69     2.00029     1.99757  0.00529336
          70     1.97267     1.99722  0.00522967
          71     1.96963     1.99683  0.00517043
          72      1.9489     1.99616  0.00514129
          73     1.92345     1.99517  0.00516645
          74     1.90624     1.99396  0.00523452
          75      1.9122     1.99287  0.00527703
          76     1.92306     1.99196  0.00528696
          77     1.96015     1.99154  0.00523441
          78     1.96391     1.99119  0.00517927
          79     1.96096     1.99081  0.00512783
          80      2.0153     1.99111  0.00507287
          81     2.04974     1.99184  0.00506161
          82     2.04159     1.99244  0.00503612
          83     1.99465     1.99247  0.00497551
          84     1.96034     1.99209  0.00493096
          85      1.9556     1.99166   0.0048916
          86     1.96268     1.99132  0.00484632
          87     2.01372     1.99158  0.00479744
          88     2.01303     1.99182  0.00474912
          89     1.99065     1.99181  0.00469577
          90     1.99149      1.9918   0.0046436
          91     2.00117     1.99191  0.00459371
          92     1.96227     1.99159  0.00455507
          93     1.95435     1.99119  0.00452365
          94     1.95583     1.99081  0.00449113
          95     1.93726     1.99025  0.00447909
          96     1.96503     1.98998  0.00444012
          97     1.98164      1.9899  0.00439518
          98     1.99818     1.98998  0.00435114
          99     2.04732     1.99056  0.00434557
         100     2.10306     1.99169  0.00444535
         101      2.0854     1.99261  0.00449714
         102     2.05251      1.9932  0.00449123
         103     2.01138     1.99338  0.00445109
         104     1.99795     1.99342  0.00440851
         105      1.9902     1.99339  0.00436663
         106      1.9965     1.99342  0.00432554
         107      2.0003     1.99348  0.00428559
         108     2.00286     1.99357  0.00424679
         109     2.01041     1.99373  0.00421063
         110     2.02933     1.99405  0.00418478
         111      2.0266     1.99434  0.00415734
         112     1.99287     1.99433  0.00412024
         113     1.99461     1.99433  0.00408378
         114     2.01251     1.99449  0.00405107
         115     2.02276     1.99474  0.00402329
         116       2.016     1.99492  0.00399278
         117     2.00113     1.99497  0.00395901
         118     2.00767     1.99508  0.00392692
         119     1.97334      1.9949  0.00389817
         120     1.94551     1.99449  0.00388735
         121     1.96837     1.99427  0.00386121
         122     1.97311      1.9941  0.00383346
         123     1.96294     1.99384  0.00381065
         124     1.96876     1.99364  0.00378529
         125     1.98933     1.99361  0.00375516
         126     1.99708     1.99363  0.00372546
         127     1.98396     1.99356   0.0036969
         128     2.00816     1.99367  0.00366978
         129     2.05021     1.99411  0.00366741
         130     1.99523     1.99412  0.00363921
         131      1.9587     1.99385  0.00362146
         132     1.95698     1.99357  0.00360478
         133     1.93815     1.99315  0.00360168
         134     1.93929     1.99275  0.00359716
         135     1.97788     1.99264   0.0035722
         136     1.99624     1.99267  0.00354603
         137     2.00146     1.99273  0.00352073
         138     1.99144     1.99272  0.00349523
         139     1.97488     1.99259  0.00347244
         140     1.96267     1.99238  0.00345421
         141     1.95454     1.99211  0.00344012
         142     1.99703     1.99215  0.00341607
         143     1.97984     1.99206  0.00339327
         144     1.99721      1.9921  0.00336989
         145     2.00126     1.99216  0.00334724
         146     1.99713     1.99219  0.00332449
         147     2.00491     1.99228    0.003303
         148     2.00586     1.99237  0.00328195
         149     2.03045     1.99263  0.00326986
         150     2.01472     1.99277  0.00325138
         151     2.00176     1.99283  0.00323039
         152     1.97682     1.99273  0.00321086
         153     2.00524     1.99281  0.00319091
         154     2.00992     1.99292  0.00317213
         155     1.99419     1.99293  0.00315167
         156     1.98572     1.99288  0.00313181
         157     1.94599     1.99258  0.00312607
         158     1.94265     1.99227  0.00312222
         159     1.94901       1.992  0.00311442
         160     1.91924     1.99154  0.00312797
         161     1.91566     1.99107  0.00314386
         162     1.93559     1.99073  0.00314305
         163     1.94713     1.99046  0.00313513
         164     1.96088     1.99028   0.0031212
         165     1.96684     1.99014  0.00310551
         166     1.97117     1.99002  0.00308891
         167     2.02072     1.99021  0.00307588
         168     2.07014     1.99068  0.00309415
         169     2.03254     1.99093  0.00308574
         170     2.03409     1.99118  0.00307801
         171     2.09103     1.99177  0.00311489
         172     2.08768     1.99233   0.0031463
         173     2.05869     1.99271  0.00315141
         174     2.08782     1.99326  0.00318036
         175     2.12675     1.99402  0.00325237
         176      2.1044     1.99465  0.00329381
         177     2.07891     1.99512  0.00330942
         178     2.08528     1.99563  0.00332937
         179     2.08216     1.99611  0.00334568
         180     2.08137     1.99659  0.00336045
         181     2.06138     1.99694   0.0033609
         182      2.0257      1.9971  0.00334615
         183     2.02184     1.99724  0.00333059
         184     2.02675      1.9974  0.00331635
         185     1.98462     1.99733  0.00329914
         186     1.97214     1.99719  0.00328418
         187     2.01019     1.99726  0.00326736
         188     1.99831     1.99727  0.00324998
         189     1.94898     1.99701  0.00324281
         190     1.91574     1.99659  0.00325384
         191     1.90875     1.99613  0.00326914
         192      1.9102     1.99568   0.0032826
         193     1.93725     1.99537  0.00327953
         194     1.93074     1.99504   0.0032795
         195      1.9225     1.99467  0.00328371
         196     1.95165     1.99445  0.00327429
         197     1.96757     1.99431  0.00326051
         198     1.97166      1.9942  0.00324605
         199     1.97523      1.9941  0.00323114
         200     1.97429     1.99401   0.0032165
