#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.01844     2.01844           0
           2     2.09117     2.05481   0.0257121
           3     1.97208     2.02723   0.0282966
           4      1.7935      1.9688   0.0548741
           5     1.67978     1.91099   0.0678248
           6     1.62852     1.86391   0.0710047
           7      1.5944     1.82541   0.0705315
           8     1.54051      1.7898   0.0701318
           9     1.52899     1.76082   0.0680638
          10     1.49341     1.73408   0.0663026
          11     1.45763     1.70895   0.0648636
          12     1.44016     1.68655   0.0632076
          13      1.4291     1.66675   0.0613695
          14     1.43081     1.64989   0.0592548
          15      1.4183     1.63445   0.0572806
          16     1.42222     1.62119    0.055215
          17     1.42139     1.60944   0.0532032
          18     1.42525      1.5992    0.051222
          19     1.42908     1.59025   0.0493025
          20     1.41743     1.58161   0.0475886
