#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     1.33096     1.33604   0.0064808
         169     1.32324     1.33596  0.00644289
         170     1.31477     1.33584   0.0064062
         171     1.31365     1.33571  0.00637005
         172     1.34356     1.33575  0.00633318
         173     1.31358     1.33562  0.00629786
         174     1.32035     1.33554  0.00626228
         175     1.35919     1.33567  0.00622796
         176     1.29932     1.33546  0.00619599
         177     1.30977     1.33532  0.00616269
         178     1.33264      1.3353  0.00612808
         179      1.3071     1.33515  0.00609587
         180     1.30849       1.335  0.00606381
         181     1.30656     1.33484  0.00603234
         182     1.31306     1.33472  0.00600038
         183     1.31338     1.33461  0.00596873
         184     1.34178     1.33464  0.00593642
         185      1.3373     1.33466  0.00590434
         186     1.32705     1.33462  0.00587274
         187     1.31488     1.33451  0.00584229
         188     1.32075     1.33444  0.00581167
         189     1.32665      1.3344  0.00578106
         190     1.30167     1.33423   0.0057532
         191     1.27695     1.33393  0.00573089
         192     1.28268     1.33366  0.00570725
         193     1.30238      1.3335  0.00567998
         194      1.3064     1.33336  0.00565242
         195     1.30267      1.3332  0.00562563
         196     1.31967     1.33313  0.00559735
         197     1.32643      1.3331  0.00556904
         198     1.31833     1.33302  0.00554141
         199     1.31349     1.33292  0.00551443
         200     1.33578     1.33294  0.00548688
         201     1.32827     1.33292  0.00545963
         202     1.32837     1.33289  0.00543265
         203     1.30825     1.33277  0.00540724
         204      1.3037     1.33263  0.00538262
         205     1.31465     1.33254  0.00535707
         206     1.31142     1.33244  0.00533205
         207      1.2887     1.33223  0.00531048
         208     1.30178     1.33208  0.00528696
         209     1.29982     1.33193  0.00526392
         210     1.29364     1.33174  0.00524201
         211     1.32201      1.3317  0.00521737
         212     1.31762     1.33163  0.00519318
         213      1.3178     1.33157   0.0051692
         214     1.35111     1.33166  0.00514586
         215     1.36031     1.33179  0.00512365
         216       1.348     1.33187  0.00510048
         217     1.35353     1.33197  0.00507795
         218     1.28463     1.33175   0.0050593
         219     1.30109     1.33161  0.00503813
         220     1.30917     1.33151  0.00501626
         221     1.31913     1.33145  0.00499388
         222      1.2969      1.3313  0.00497381
         223      1.2749     1.33104  0.00495793
         224     1.26716     1.33076  0.00494399
         225     1.30049     1.33062  0.00492384
         226     1.33923     1.33066   0.0049022
         227     1.33828     1.33069  0.00488072
         228     1.32474     1.33067  0.00485939
         229     1.34663     1.33074  0.00483867
         230     1.32865     1.33073  0.00481764
         231     1.31563     1.33066  0.00479723
         232     1.30698     1.33056  0.00477763
