#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.462858   -0.462858           0
           2   -0.497044   -0.479951   0.0120865
           3   -0.538346   -0.499416   0.0178189
           4    -0.51557   -0.503455   0.0138143
           5    -0.51107   -0.504978    0.011135
           6    -0.54024   -0.510855   0.0107185
           7   -0.569439   -0.519224   0.0120185
           8   -0.594762   -0.528666   0.0137332
           9   -0.605799   -0.537236   0.0146392
          10   -0.619562   -0.545469   0.0153162
          11   -0.652205   -0.555172   0.0167172
          12   -0.697071   -0.566997   0.0190527
          13    -0.71219   -0.578166   0.0206022
          14     -0.7936   -0.593554   0.0242046
          15   -0.847336   -0.610473   0.0278839
          16   -0.925747   -0.630177   0.0323631
          17     -1.0975   -0.657667   0.0404846
          18    -1.36584    -0.69701   0.0540725
          19    -1.54543   -0.741664     0.06718
          20    -1.43617   -0.776389   0.0722405
