5.57442	0
5.6123	0.0378791
5.64436	0.0388084
5.67764	0.0431338
5.60541	0.0795853
5.60901	0.0650808
5.64066	0.0634623
5.60977	0.0630491
5.63125	0.0596105
5.60137	0.0611193
5.58057	0.0590687
5.56879	0.0551945
5.56267	0.0511387
5.55999	0.0474211
5.56696	0.0446934
5.57882	0.0434573
5.58021	0.0408446
5.57437	0.0389493
5.57492	0.0368465
5.56172	0.0373652
5.54961	0.0375464
5.54661	0.0359251
5.53033	0.0379933
5.53711	0.0370024
5.53489	0.0355606
5.56085	0.0429113
5.55138	0.0423649
5.55404	0.0409105
5.53906	0.0422209
5.52497	0.0431548
5.53285	0.0424769
5.53521	0.041196
5.54175	0.0404595
5.54312	0.0392754
5.53376	0.039269
5.54058	0.0387676
5.54999	0.0388612
5.55119	0.0378437
5.55494	0.0370514
5.55366	0.036136
5.5563	0.0353423
5.54663	0.0358195
5.53865	0.0358764
5.54534	0.035684
5.54464	0.0348889
5.53811	0.0347423
5.52922	0.0351374
5.52637	0.0345155
5.52501	0.0338313
5.51925	0.0336444
5.51503	0.0332465
5.52398	0.0338076
5.51834	0.0336407
5.5184	0.0330119
5.52218	0.0326261
5.52991	0.0329568
5.52986	0.0323735
5.51581	0.0347758
5.52204	0.0347448
5.5237	0.034201
5.52277	0.0336486
5.51906	0.0333083
5.52149	0.0328649
5.52186	0.0323495
5.51761	0.0321295
5.51543	0.0317145
5.52055	0.0316544
5.51201	0.0323327
5.51076	0.031885
5.51256	0.0314773
5.51017	0.0311226
5.50935	0.0306981
5.51065	0.0303023
5.5144	0.0301246
5.51507	0.0297277
5.50988	0.0297881
5.51469	0.0297896
5.51411	0.029411
5.51481	0.0290448
5.51596	0.0287022
5.5139	0.0284199
5.51561	0.028123
5.51824	0.0279057
5.51616	0.0276495
5.5165	0.0273244
5.51363	0.0271568
5.51051	0.0270239
5.5075	0.0268836
5.50151	0.0272468
5.50022	0.0269732
5.50571	0.0272336
5.49872	0.0278278
5.4962	0.0276418
5.50196	0.0279452
5.49853	0.0278617
5.49896	0.0275734
5.4953	0.0275328
5.49698	0.0273021
5.50007	0.0272013
5.49699	0.027103
