   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 5.18728e-06 5.13514e-06
    0.884913  0.00115304 0.000101605
    0.910562   0.0256336 0.000529011
    0.936212    0.174606    0.001283
    0.961861    0.581552  0.00289284
    0.987511     1.22927  0.00403698
     1.01316     1.88359  0.00498512
     1.03881     2.35078   0.0047041
     1.06446     2.55623  0.00603062
     1.09011     2.54211  0.00470374
     1.11576     2.38876  0.00538544
     1.14141     2.18403  0.00457347
     1.16706     1.96073  0.00420141
     1.19271     1.74883  0.00441324
     1.21836       1.549  0.00460713
     1.24401       1.381  0.00336214
     1.26966     1.23685  0.00360723
     1.29531     1.11844  0.00361788
     1.32096     1.01947  0.00347746
     1.34661    0.933203  0.00293063
     1.37226    0.867257    0.002477
     1.39791    0.812545   0.0026773
     1.42355    0.773549  0.00260546
      1.4492    0.736437  0.00225384
     1.47485     0.70753  0.00261588
      1.5005    0.687003   0.0022706
     1.52615    0.673581  0.00222574
      1.5518    0.670897  0.00188375
     1.57745    0.674623  0.00244437
      1.6031    0.679734   0.0023444
     1.62875    0.692411  0.00238923
      1.6544    0.709101  0.00224236
     1.68005    0.732134   0.0023554
      1.7057     0.75719  0.00241775
     1.73135    0.790075   0.0023121
       1.757    0.825992  0.00198803
     1.78265    0.860734  0.00229413
      1.8083     0.90165  0.00205785
     1.83395    0.940105  0.00173689
      1.8596    0.982373  0.00195553
     1.88525     1.01976  0.00249737
      1.9109     1.06443  0.00227263
     1.93655     1.09593  0.00190028
      1.9622     1.13314   0.0024129
     1.98785     1.15958  0.00218455
      2.0135     1.18267  0.00209451
     2.03915     1.20122  0.00226141
      2.0648     1.20944  0.00200048
     2.09045     1.21234  0.00218703
      2.1161     1.20521  0.00224909
     2.14174     1.18928  0.00234178
     2.16739     1.16777  0.00236949
     2.19304     1.14556  0.00229429
     2.21869     1.12054  0.00206433
     2.24434     1.08866  0.00213757
     2.26999     1.05678  0.00223006
     2.29564     1.03315  0.00212483
     2.32129     1.00796  0.00213152
     2.34694    0.983539  0.00187137
     2.37259    0.960446  0.00174629
     2.39824    0.941807  0.00195942
     2.42389    0.927291  0.00188783
     2.44954    0.914609  0.00197737
     2.47519    0.905272  0.00190327
     2.50084    0.898102  0.00186012
     2.52649     0.89386  0.00159112
     2.55214    0.891178  0.00172518
