#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.613118   -0.613118           0
           2   -0.612426   -0.612772 0.000244376
           3   -0.612601   -0.612715  0.00016945
           4   -0.613074   -0.612805 0.000149024
           5   -0.614322   -0.613108  0.00029637
           6   -0.613562   -0.613184 0.000256429
           7   -0.613693   -0.613256 0.000229878
           8   -0.613356   -0.613269 0.000201479
           9   -0.612668   -0.613202 0.000189833
          10   -0.613485    -0.61323 0.000172942
          11   -0.613999     -0.6133 0.000170759
          12    -0.61273   -0.613253    0.000163
          13   -0.612954    -0.61323 0.000152077
          14   -0.613901   -0.613278 0.000148576
          15   -0.613402   -0.613286 0.000138903
          16   -0.611226   -0.613157 0.000180257
          17   -0.613969   -0.613205 0.000175861
          18   -0.613878   -0.613242 0.000170014
          19   -0.613078   -0.613234 0.000161285
          20   -0.613138   -0.613229 0.000153292
