#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.198607    0.198607           0
           2    0.189039    0.193823  0.00338294
           3    0.200582    0.196076  0.00291032
           4    0.216111    0.201085  0.00485591
           5    0.185524    0.197972   0.0047791
           6    0.197714    0.197929  0.00398278
           7     0.20088    0.198351  0.00343605
           8    0.193119    0.197697  0.00306815
           9    0.201933    0.198168  0.00276311
          10    0.203622    0.198713  0.00254006
          11     0.20117    0.198936  0.00231895
          12    0.223153    0.200954  0.00287258
          13    0.208675    0.201548  0.00271231
          14    0.202653    0.201627  0.00251972
          15    0.197246    0.201335  0.00236861
          16    0.204349    0.201523  0.00222805
          17    0.233266    0.203391  0.00277107
          18    0.187449    0.202505  0.00275501
          19    0.182487    0.201451  0.00280424
          20    0.216351    0.202196  0.00276121
