#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.432016    0.432016           0
           2    0.435251    0.433633   0.0011437
           3     0.42348    0.430249  0.00286668
           4    0.440919    0.432916  0.00315583
           5    0.433972    0.433127  0.00253172
           6    0.426655    0.432049  0.00232823
           7    0.433243    0.432219  0.00200187
           8    0.434404    0.432492  0.00177016
           9    0.432029    0.432441  0.00157422
          10     0.42919    0.432116  0.00144997
          11    0.433525    0.432244  0.00132381
          12    0.424046    0.431561  0.00137854
          13    0.433931    0.431743   0.0012845
          14    0.428738    0.431528  0.00121055
          15    0.435939    0.431822  0.00116501
          16    0.434061    0.431962  0.00110057
          17    0.427811    0.431718  0.00106257
          18    0.428641    0.431547   0.0010172
          19    0.432677    0.431607 0.000965398
          20     0.43049    0.431551 0.000918742
