#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.528801   -0.528801           0
           2     -0.5279    -0.52835 0.000318481
           3   -0.528095   -0.528265 0.000223393
           4   -0.528418   -0.528304 0.000170791
           5   -0.529282   -0.528499 0.000221982
           6   -0.528538   -0.528506 0.000185081
           7   -0.528188    -0.52846 0.000164112
           8   -0.528829   -0.528506 0.000149922
           9   -0.528286   -0.528482 0.000135256
          10   -0.528924   -0.528526 0.000128754
          11   -0.528774   -0.528549 0.000119012
          12   -0.528338   -0.528531 0.000110386
          13   -0.529578   -0.528612 0.000127925
          14   -0.529198   -0.528653 0.000125467
          15   -0.526795    -0.52853 0.000167444
          16    -0.52909   -0.528565 0.000160595
          17   -0.529254   -0.528605 0.000156179
          18   -0.528966   -0.528625 0.000148786
          19   -0.529021   -0.528646 0.000142405
          20   -0.530134    -0.52872 0.000153503
