#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     14.8106     14.8106           0
           2      15.386     15.0983    0.203459
           3     14.5284     14.9083    0.206058
           4     15.5755     15.0751    0.211542
           5     15.1314     15.0864    0.169532
           6     14.9556     15.0646    0.142671
           7     14.8238     15.0302    0.126368
           8     14.6904     14.9877    0.117491
           9     14.8906     14.9769    0.104931
          10     15.8871     15.0679    0.127962
          11      14.775     15.0413    0.119069
          12     15.2383     15.0577    0.110272
          13     15.5963     15.0992    0.109295
          14     15.1143     15.1002    0.101493
          15     15.0071      15.094    0.094917
          16     15.3882     15.1124   0.0907477
          17     15.4883     15.1345   0.0880622
          18     15.4073     15.1497   0.0844634
          19     15.6048     15.1736   0.0833453
          20     14.9749     15.1637   0.0797681
