#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.683686   -0.683686           0
           2   -0.682177   -0.682932 0.000533724
           3   -0.682526   -0.682796 0.000372579
           4   -0.683229   -0.682904 0.000294709
           5   -0.682996   -0.682923 0.000236336
           6   -0.682561   -0.682862 0.000204499
           7   -0.681403   -0.682654 0.000260713
           8   -0.682474   -0.682631 0.000229088
           9   -0.683287   -0.682704 0.000214907
          10   -0.682591   -0.682693 0.000193714
          11   -0.682938   -0.682715 0.000177375
          12   -0.682817   -0.682724 0.000162795
          13   -0.681648   -0.682641 0.000170007
          14   -0.681186   -0.682537 0.000186936
          15    -0.68133   -0.682457    0.000191
          16   -0.682997    -0.68249 0.000182022
          17   -0.682496   -0.682491 0.000171315
          18   -0.681597   -0.682441 0.000168842
          19   -0.682366   -0.682437 0.000160002
          20   -0.682811   -0.682456 0.000153091
