#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.582676    0.582676           0
           2    0.710796    0.646736   0.0452973
           3    0.654973    0.649481   0.0302813
           4       0.645    0.648361   0.0227317
           5      0.6806    0.654809   0.0190779
           6    0.660203    0.655708   0.0159194
           7    0.688121    0.660338   0.0143028
           8     0.71334    0.666963   0.0139653
           9    0.674062    0.667752   0.0124359
          10    0.688474    0.669824   0.0113636
          11    0.708386     0.67333   0.0108578
          12    0.702579    0.675767   0.0102229
          13    0.640521    0.673056  0.00978948
          14    0.655292    0.671787   0.0091721
          15    0.714206    0.674615  0.00898601
          16    0.640408    0.672477  0.00867499
          17    0.652169    0.671283  0.00824654
          18    0.619471    0.668404  0.00827552
          19    0.684464    0.669249  0.00788301
          20    0.669717    0.669273   0.0074889
