#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.682922    0.682922           0
           2     0.65005    0.666486    0.011622
           3    0.653121    0.662031  0.00855935
           4    0.670019    0.664028  0.00664843
           5    0.732821    0.677786   0.0134063
           6    0.662967    0.675317   0.0113971
           7    0.720806    0.681815   0.0114731
           8    0.691094    0.682975   0.0100974
           9    0.669524     0.68148  0.00908538
          10    0.626197    0.675952  0.00971428
          11    0.644642    0.673106  0.00923876
          12    0.758237      0.6802   0.0108562
          13    0.719078    0.683191   0.0104249
          14    0.726113    0.686256    0.010121
          15    0.653761     0.68409  0.00967537
          16    0.667233    0.683036  0.00912784
          17     0.71029     0.68464  0.00873056
          18    0.662448    0.683407  0.00833212
          19    0.619172    0.680026    0.008552
          20    0.683932    0.680221  0.00812663
