#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.249331    0.249331           0
           2    0.251121    0.250226 0.000633045
           3    0.249081    0.249844 0.000524647
           4     0.24944    0.249743 0.000403092
           5    0.250189    0.249832 0.000332187
           6    0.250025    0.249864 0.000278371
           7      0.2488    0.249712 0.000277047
           8    0.248192    0.249522 0.000300641
           9    0.250045     0.24958 0.000272799
          10    0.248897    0.249512 0.000253947
          11    0.250673    0.249618 0.000251839
          12    0.247704    0.249458 0.000276765
          13    0.247778    0.249329 0.000284046
          14    0.249173    0.249318 0.000263976
          15    0.250378    0.249388 0.000255664
          16    0.246975    0.249238 0.000280685
          17    0.247484    0.249134 0.000282491
          18    0.248493    0.249099 0.000269039
          19    0.249733    0.249132 0.000256944
          20    0.250055    0.249178 0.000248208
