#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0585336   0.0585336           0
           2   0.0580456   0.0582896 0.000172534
           3   0.0578328   0.0581373 0.000169372
           4   0.0584416   0.0582134 0.000143094
           5    0.058978   0.0583663  0.00017836
           6   0.0543152   0.0576911 0.000634026
           7   0.0557872   0.0574191 0.000598957
           8   0.0582412   0.0575219 0.000532829
           9    0.060214    0.057821 0.000551229
          10   0.0632008    0.058359 0.000711758
          11   0.0625604   0.0587409 0.000742494
          12   0.0613176   0.0589557  0.00071099
          13   0.0556044   0.0586979 0.000701478
          14   0.0603372    0.058815 0.000661073
          15   0.0570116   0.0586947 0.000627838
          16   0.0583704   0.0586745 0.000588926
          17     0.05834   0.0586548 0.000554612
          18   0.0615968   0.0588182 0.000547354
          19   0.0545272   0.0585924 0.000563215
          20    0.059234   0.0586245 0.000535967
