#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0688976   0.0688976           0
           2   0.0726924    0.070795  0.00134166
           3   0.0702912   0.0706271 0.000904892
           4   0.0690432   0.0702311 0.000760384
           5   0.0611468   0.0684142  0.00173517
           6   0.0653232   0.0678991  0.00152053
           7   0.0723016    0.068528  0.00142747
           8   0.0745712   0.0692834  0.00143506
           9   0.0720264   0.0695882  0.00130757
          10    0.069818   0.0696112  0.00117702
          11   0.0743588   0.0700428  0.00114642
          12   0.0720424   0.0702094  0.00106293
          13   0.0787168   0.0708638  0.00116533
          14    0.073066   0.0710211  0.00109266
          15   0.0696284   0.0709283  0.00102375
          16   0.0739312   0.0711159  0.00097682
          17   0.0746692    0.071325 0.000941456
          18    0.070864   0.0712994 0.000889501
          19   0.0709932   0.0712832 0.000842831
          20   0.0707652   0.0712573 0.000801088
