#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.319985    0.319985           0
           2     0.28592    0.302952    0.012044
           3    0.288824    0.298243  0.00890265
           4    0.313774    0.302126  0.00747595
           5    0.282002    0.298101  0.00698057
           6    0.301174    0.298613   0.0058359
           7    0.276257    0.295419  0.00581074
           8    0.262637    0.291322  0.00636742
           9    0.272842    0.289268  0.00598183
          10    0.276826    0.288024  0.00551154
          11    0.301506     0.28925  0.00514496
          12    0.313068    0.291235  0.00508468
          13    0.311001    0.292755  0.00491564
          14    0.297594    0.293101  0.00457665
          15    0.265766    0.291278  0.00462012
          16    0.282881    0.290754  0.00436107
          17    0.343899     0.29388  0.00510347
          18    0.283134    0.293283  0.00485474
          19    0.255181    0.291277  0.00499626
          20    0.306904    0.292059  0.00480715
