#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0498448   0.0498448           0
           2    0.049844   0.0498444 2.82843e-07
           3    0.050338   0.0500089 0.000134341
           4     0.05052   0.0501367 0.000149649
           5   0.0559032     0.05129  0.00103847
           6   0.0530212   0.0515785 0.000904585
           7   0.0507836    0.051465 0.000782455
           8   0.0512856   0.0514425 0.000684969
           9   0.0547484   0.0518099 0.000700459
          10   0.0491276   0.0515416 0.000679832
          11   0.0536904    0.051737 0.000645484
          12     0.05152   0.0517189 0.000591947
          13   0.0474928   0.0513938 0.000629378
          14    0.046766   0.0510633 0.000665593
          15   0.0517132   0.0511066 0.000622629
          16   0.0501748   0.0510483 0.000586432
          17   0.0532296   0.0511767 0.000565798
          18   0.0531484   0.0512862 0.000544866
          19   0.0521244   0.0513303 0.000517971
          20   0.0494668   0.0512371 0.000500383
