#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.291337    0.291337           0
           2    0.295932    0.293634  0.00162437
           3    0.293764    0.293678  0.00108349
           4    0.293546    0.293645 0.000813116
           5      0.2954    0.293996 0.000722333
           6    0.293405    0.293897 0.000608616
           7    0.291263    0.293521 0.000627284
           8    0.296746    0.293924 0.000665951
           9    0.293443    0.293871 0.000594097
          10    0.291845    0.293668 0.000568163
          11    0.292199    0.293535  0.00053197
          12    0.291577    0.293372 0.000512037
          13    0.295922    0.293568 0.000508836
          14    0.292029    0.293458 0.000484217
          15    0.292101    0.293367 0.000460304
          16    0.292744    0.293328 0.000433182
          17    0.292443    0.293276 0.000410817
          18     0.29119     0.29316  0.00040402
          19    0.292357    0.293118 0.000384964
          20    0.295079    0.293216 0.000377992
