#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.139453    0.139453           0
           2    0.141895    0.140674 0.000863236
           3    0.147627    0.142992  0.00197789
           4    0.149908    0.144721  0.00210787
           5    0.146326    0.145042  0.00171056
           6    0.138224    0.143905  0.00176293
           7    0.143013    0.143778  0.00151569
           8    0.139762    0.143276   0.0014069
           9    0.146207    0.143602  0.00128772
          10    0.142689     0.14351  0.00116218
          11    0.167099    0.145655  0.00230145
          12    0.154508    0.146393  0.00222479
          13     0.14835    0.146543  0.00205874
          14    0.144793    0.146418  0.00191548
          15    0.136898    0.145783  0.00189001
          16    0.155801     0.14641  0.00187272
          17    0.151936    0.146735  0.00179055
          18    0.150529    0.146945  0.00170344
          19     0.13599    0.146369  0.00170858
          20    0.156869    0.146894   0.0017019
