#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      10.046      10.046           0
           2     10.3202     10.1831   0.0969682
           3     9.95891     10.1084   0.0888941
           4     9.93971     10.0662    0.076016
           5     9.84018      10.021   0.0730273
           6     10.2947     10.0666   0.0737396
           7     10.5195     10.1313   0.0870775
           8      10.233      10.144   0.0771143
           9     10.7955     10.2164   0.0967254
          10     10.3048     10.2252   0.0874562
          11     10.1718     10.2204   0.0796403
          12     10.0448     10.2058   0.0743362
          13     9.97866     10.1883   0.0706407
          14      10.381     10.2021   0.0669231
          15     10.0575     10.1924   0.0631514
          16     10.2385     10.1953   0.0592701
          17     10.3918     10.2069   0.0568991
          18     10.4056     10.2179   0.0547987
          19     10.4732     10.2313   0.0535372
          20     9.81115     10.2103   0.0548278
