#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.60163     5.60163           0
           2     5.61278      5.6072  0.00394077
           3     5.58506     5.59982  0.00657528
           4     5.63879     5.60956  0.00977314
           5     5.51627      5.5909   0.0184302
           6     5.66078     5.60255   0.0186794
           7      5.6136     5.60413   0.0160774
           8     5.49866     5.59094   0.0187082
           9     5.59112     5.59096   0.0166295
          10      5.5886     5.59073   0.0149682
          11     5.58795     5.59047   0.0136096
          12     5.68949     5.59873   0.0147665
          13     5.54646     5.59471   0.0141674
          14      5.6402     5.59796    0.013523
          15     5.64805      5.6013   0.0130274
          16     5.59099     5.60065   0.0122291
          17     5.59167     5.60012   0.0115211
          18     5.61578     5.60099   0.0109139
          19     5.62708     5.60237   0.0104254
          20     5.59479     5.60199  0.00991105
