#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.933277   -0.933277           0
           2   -0.935482   -0.934379 0.000779515
           3   -0.933152    -0.93397 0.000617754
           4   -0.935979   -0.934472 0.000635504
           5    -0.93453   -0.934484 0.000508509
           6   -0.934354   -0.934462 0.000424222
           7   -0.933741   -0.934359  0.00037593
           8   -0.936161   -0.934584 0.000390611
           9   -0.933543   -0.934469 0.000363938
          10   -0.933899   -0.934412 0.000331971
          11   -0.937866   -0.934726  0.00042514
          12   -0.936584   -0.934881 0.000416959
          13   -0.937392   -0.935074 0.000427299
          14   -0.935487   -0.935103 0.000397797
          15    -0.93665   -0.935206 0.000384401
          16   -0.937502    -0.93535 0.000386232
          17   -0.936584   -0.935423 0.000370271
          18   -0.935578   -0.935431 0.000349801
          19   -0.934817   -0.935399 0.000332881
          20   -0.936017    -0.93543 0.000317668
