#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.050352    0.050352           0
           2   0.0478048   0.0490784 0.000900571
           3   0.0483176   0.0488248 0.000635085
           4    0.049414   0.0489721   0.0004931
           5   0.0513524   0.0494482 0.000580449
           6   0.0541856   0.0502377 0.000868041
           7   0.0537224   0.0507355 0.000875214
           8    0.049428   0.0505721 0.000780925
           9    0.045482   0.0500065 0.000875315
          10    0.044876   0.0494935 0.000926015
          11   0.0510376   0.0496339 0.000852405
          12   0.0553436   0.0501097 0.000904473
          13   0.0529928   0.0503314  0.00086166
          14    0.055008   0.0506655 0.000862434
          15   0.0518104   0.0507418 0.000808309
          16   0.0459312   0.0504411 0.000811785
          17   0.0575156   0.0508573 0.000864138
          18   0.0533328   0.0509948 0.000827002
          19   0.0463072   0.0507481 0.000819451
          20     0.04804   0.0506127 0.000789586
