#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.17627     2.17627           0
           2     2.19231     2.18429  0.00567064
           3     2.14783     2.17214   0.0106203
           4      2.1458     2.16555   0.0097954
           5     2.19197     2.17084  0.00915101
           6     2.18215     2.17272  0.00781759
           7     2.17751      2.1734  0.00673061
           8     2.19814      2.1765  0.00656127
           9      2.2055     2.17972  0.00657608
          10     2.22693     2.18444  0.00742224
          11     2.19198     2.18513  0.00677907
          12     2.16388     2.18336  0.00644112
          13     2.19834     2.18451  0.00604797
          14     2.17884      2.1841  0.00562953
          15     2.17456     2.18347  0.00529005
          16     2.16147     2.18209  0.00513504
          17     2.21416     2.18398  0.00516785
          18     2.12488      2.1807   0.0058311
          19     2.15856     2.17953  0.00563941
          20     2.19354     2.18023  0.00540075
