#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.299972    0.299972           0
           2     0.27078    0.285376   0.0103211
           3    0.266664    0.279139  0.00856043
           4    0.301093    0.284627  0.00798837
           5    0.288058    0.285314   0.0064201
           6    0.268724    0.282549  0.00591556
           7    0.302156     0.28535  0.00569517
           8    0.320994    0.289805  0.00649637
           9    0.263416    0.286873  0.00640218
          10    0.290826    0.287268  0.00577415
          11    0.297456    0.288195  0.00532298
          12    0.290363    0.288375  0.00488247
          13    0.305897    0.289723  0.00468924
          14    0.286528    0.289495  0.00435984
          15    0.286374    0.289287  0.00407415
          16    0.290733    0.289377  0.00382052
          17    0.314031    0.290827  0.00386123
          18    0.301017    0.291393  0.00368798
          19    0.286494    0.291136  0.00350288
          20     0.31407    0.292282  0.00351042
