#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.482578   -0.482578           0
           2   -0.482027   -0.482302 0.000194596
           3     -0.4825   -0.482368 0.000140436
           4   -0.482667   -0.482443 0.000123623
           5   -0.483082   -0.482571 0.000151207
           6   -0.482051   -0.482484 0.000148758
           7    -0.48299   -0.482557 0.000144011
           8   -0.482604   -0.482562 0.000126132
           9   -0.482256   -0.482528 0.000116624
          10    -0.48259   -0.482535 0.000105122
          11   -0.482712   -0.482551 9.67949e-05
          12   -0.482122   -0.482515 9.51043e-05
          13   -0.483598   -0.482598 0.000118782
          14   -0.482946   -0.482623  0.00011286
          15    -0.48162   -0.482556 0.000123567
          16   -0.483018   -0.482585 0.000119163
          17   -0.482886   -0.482603 0.000113464
          18   -0.482733    -0.48261 0.000107391
          19   -0.482578   -0.482608 0.000101751
          20    -0.48383   -0.482669 0.000113518
