#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     23.6953     23.6953           0
           2     25.2056     24.4505    0.533988
           3     23.9659     24.2889    0.379638
           4     25.1871     24.5135    0.344798
           5     24.9823     24.6072    0.288304
           6      25.156     24.6987    0.254349
           7        25.1      24.756    0.224381
           8     24.4608     24.7191    0.199343
           9     24.9599     24.7459    0.178981
          10     24.7562     24.7469    0.161086
          11     24.4363     24.7187    0.148896
          12     24.3488     24.6878    0.139642
          13     25.0678     24.7171    0.131924
          14     24.1474     24.6764    0.128623
          15     25.5886     24.7372    0.133654
          16     24.6662     24.7328    0.125374
          17     25.3628     24.7698    0.123355
          18     23.8588     24.7192    0.126461
          19     24.4112      24.703    0.120839
          20     24.9315     24.7144    0.115336
