#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.19315     2.19315           0
           2     2.17892     2.18604   0.0050323
           3     2.18424     2.18544  0.00339036
           4     2.14931     2.17641  0.00822466
           5     2.19739      2.1806  0.00757511
           6      2.1771     2.18002  0.00633503
           7     2.15699     2.17673  0.00622598
           8     2.17482     2.17649   0.0054523
           9     2.16429     2.17514  0.00501214
          10     2.18187     2.17581   0.0045559
          11     2.16706     2.17501  0.00421065
          12     2.17171     2.17474  0.00386877
          13     2.15904     2.17353    0.003755
          14     2.22489      2.1772  0.00496548
          15     2.16558     2.17642  0.00469444
          16     2.20376     2.17813  0.00470159
          17     2.20551     2.17974  0.00469278
          18     2.17286     2.17936  0.00444763
          19      2.1793     2.17936  0.00421355
          20     2.16138     2.17846  0.00409762
