#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         161       -0.44   -0.455901  0.00931779
         162       -0.12   -0.453827  0.00948817
         163       -0.36   -0.453252  0.00944741
         164       -0.28   -0.452195  0.00944868
         165       -0.52   -0.452606  0.00940035
         166       -0.52   -0.453012  0.00935248
         167       -0.44   -0.452934   0.0092968
         168       -0.44   -0.452857  0.00924179
         169       -0.44   -0.452781  0.00918741
         170        -0.6   -0.453647  0.00917409
         171       -0.36   -0.453099  0.00913677
         172        -0.6   -0.453953  0.00912348
         173       -0.68    -0.45526  0.00916383
         174       -0.52   -0.455632  0.00911872
         175       -0.68   -0.456914   0.0091563
         176       -0.36   -0.456364  0.00912082
         177       -0.44   -0.456271  0.00906976
         178       -0.44    -0.45618  0.00901926
         179        -0.6   -0.456983  0.00900459
         180       -0.44   -0.456889  0.00895506
         181       -0.44   -0.456796  0.00890607
         182       -0.68   -0.458022  0.00894118
         183        -0.6   -0.458798  0.00892592
         184       -0.44   -0.458696  0.00887799
         185       -0.36   -0.458162  0.00884602
         186       -0.28   -0.457204  0.00885016
         187       -0.36   -0.456684  0.00881809
         188        -0.6   -0.457447  0.00880407
         189        -0.6   -0.458201  0.00878974
         190       -0.52   -0.458526   0.0087495
         191       -0.68   -0.459686  0.00878019
         192        -0.6   -0.460417  0.00876482
         193       -0.44   -0.460311  0.00872004
         194        -0.6   -0.461031  0.00870477
         195       -0.44   -0.460923   0.0086608
         196       -0.44   -0.460816  0.00861727
         197       -0.36   -0.460305  0.00858871
         198       -0.44   -0.460202  0.00854594
         199        -0.6   -0.460905  0.00853182
         200       -0.28       -0.46  0.00853698
         201       -0.68   -0.461095  0.00856438
         202       -0.44    -0.46099  0.00852262
         203       -0.28   -0.460099  0.00852715
         204        -0.2   -0.458824  0.00858014
         205       -0.36   -0.458341  0.00855181
         206       -0.44   -0.458252  0.00851076
         207       -0.28   -0.457391   0.0085131
         208       -0.44   -0.457308  0.00847258
         209       -0.36   -0.456842  0.00844483
         210       -0.44   -0.456762    0.008405
         211       -0.36   -0.456303  0.00837766
         212       -0.52   -0.456604  0.00834353
         213       -0.52   -0.456901  0.00830967
         214       -0.44   -0.456822  0.00827121
         215       -0.36   -0.456372  0.00824499
         216       -0.52   -0.456667  0.00821208
         217       -0.44    -0.45659   0.0081746
         218       -0.36   -0.456147   0.0081491
         219       -0.36   -0.455708   0.0081237
         220       -0.44   -0.455636  0.00808709
         221       -0.52   -0.455928  0.00805574
         222       -0.44   -0.455856  0.00801977
         223        -0.2   -0.454709  0.00806546
         224       -0.36   -0.454286  0.00804053
         225       -0.12     -0.4528   0.0081409
         226       -0.36   -0.452389  0.00811523
         227       -0.36   -0.451982  0.00808968
         228       -0.28   -0.451228  0.00808929
         229       -0.28    -0.45048  0.00808845
         230       -0.44   -0.450435  0.00805341
         231       -0.44    -0.45039  0.00801867
         232        -0.6   -0.451034     0.00801
         233       -0.44   -0.450987  0.00797576
         234       -0.44    -0.45094  0.00794181
         235       -0.52   -0.451234  0.00791345
         236       -0.28   -0.450508  0.00791312
         237       -0.52   -0.450802  0.00788516
         238       -0.52   -0.451092  0.00785739
         239        -0.6   -0.451715  0.00784917
         240       -0.44   -0.451667  0.00781662
