#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.647938   -0.647938           0
           2   -0.645969   -0.646954 0.000696359
           3   -0.646192     -0.6467 0.000508413
           4   -0.647675   -0.646944  0.00043589
           5   -0.646664   -0.646888 0.000352281
           6      -0.647   -0.646906 0.000294064
           7   -0.645395   -0.646691 0.000321684
           8    -0.64757     -0.6468 0.000299686
           9   -0.645782   -0.646687 0.000286945
          10   -0.646832   -0.646702 0.000258614
          11    -0.64723    -0.64675 0.000239513
          12     -0.6473   -0.646796 0.000223899
          13    -0.64658   -0.646779  0.00020729
          14   -0.646017   -0.646725 0.000199506
          15   -0.645123   -0.646618 0.000212863
          16   -0.646864   -0.646633 0.000200114
          17   -0.647256    -0.64667 0.000191667
          18   -0.646096   -0.646638 0.000183651
          19   -0.646901   -0.646652 0.000174505
          20   -0.647017    -0.64667 0.000166731
