#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.67518     1.67518           0
           2      1.6812     1.67819  0.00212871
           3     1.66043     1.67227  0.00503936
           4     1.67589     1.67318  0.00385999
           5     1.69058     1.67666  0.00438567
           6     1.69119     1.67908  0.00427161
           7     1.67243     1.67813  0.00376543
           8     1.70777     1.68184  0.00478169
           9     1.69022     1.68277  0.00434024
          10     1.72133     1.68662  0.00535205
          11     1.70034     1.68787   0.0050086
          12     1.67261      1.6866  0.00474987
          13      1.7213     1.68927  0.00507931
          14     1.68787     1.68917  0.00471748
          15     1.67494     1.68822  0.00449735
          16     1.69389     1.68857   0.0042302
          17     1.71814     1.69031  0.00432416
          18      1.6565     1.68843   0.0044734
          19     1.67496     1.68773  0.00429381
          20     1.69313       1.688  0.00408762
