#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.115237    0.115237           0
           2    0.107924    0.111581  0.00258532
           3    0.119308    0.114157  0.00271924
           4     0.10556    0.112007   0.0027611
           5     0.10842     0.11129  0.00230021
           6    0.113783    0.111705    0.001954
           7    0.115458    0.112241  0.00174687
           8    0.110304    0.111999  0.00154521
           9    0.105599    0.111288  0.00152843
          10    0.105115    0.110671  0.00149506
          11    0.105894    0.110237  0.00142081
          12     0.11038    0.110248  0.00130246
          13    0.126674    0.111512  0.00170851
          14     0.11479    0.111746  0.00160244
          15   0.0974396    0.110792  0.00175667
          16    0.116856    0.111171  0.00168725
          17    0.111683    0.111201  0.00158827
          18    0.112981      0.1113  0.00150311
          19    0.102987    0.110863  0.00148631
          20    0.114005     0.11102  0.00142028
