#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.375867    0.375867           0
           2    0.334378    0.355122   0.0146687
           3    0.337701    0.349315    0.010868
           4     0.33598    0.345981  0.00864723
           5    0.319421    0.340669  0.00839229
           6    0.352803    0.342691  0.00723312
           7     0.33373    0.341411  0.00631208
           8    0.303345    0.336653  0.00709337
           9    0.351366    0.338288  0.00649088
          10    0.338907     0.33835  0.00584209
          11    0.298756     0.33475  0.00632333
          12    0.300944    0.331933  0.00639321
          13    0.347674    0.333144    0.006015
          14    0.340929      0.3337  0.00561101
          15     0.32488    0.333112  0.00526766
          16    0.336155    0.333302  0.00494186
          17    0.325668    0.332853  0.00467153
          18    0.330266    0.332709  0.00441421
          19    0.309114    0.331468  0.00435307
          20    0.308578    0.330323  0.00428322
