#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.555152   -0.555152           0
           2   -0.554057   -0.554604 0.000387212
           3   -0.554298   -0.554502  0.00027131
           4   -0.554486   -0.554498 0.000203511
           5   -0.555659    -0.55473 0.000263894
           6   -0.554586   -0.554706 0.000221013
           7   -0.554236   -0.554639 0.000199389
           8   -0.554909   -0.554673 0.000177292
           9   -0.554289    -0.55463 0.000162646
          10   -0.555359   -0.554703 0.000161899
          11   -0.554785    -0.55471 0.000147352
          12   -0.554581     -0.5547 0.000135468
          13   -0.555418   -0.554755 0.000135862
          14   -0.554748   -0.554754 0.000126158
          15    -0.55296   -0.554635 0.000164991
          16   -0.554874    -0.55465 0.000155352
          17   -0.554696   -0.554652 0.000146238
          18   -0.554752   -0.554658 0.000138218
          19   -0.554982   -0.554675 0.000131988
          20   -0.555992   -0.554741  0.00014086
