#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.197247    0.197247           0
           2    0.198465    0.197856 0.000430591
           3     0.19591    0.197207 0.000602349
           4     0.19772    0.197336 0.000465193
           5    0.196578    0.197184 0.000396077
           6    0.195775    0.196949 0.000393612
           7     0.19504    0.196676 0.000421402
           8    0.195733    0.196558  0.00038488
           9    0.196859    0.196592 0.000343558
          10    0.196382    0.196571 0.000309845
          11    0.196661    0.196579 0.000281786
          12    0.195055    0.196452 0.000285503
          13    0.196993    0.196494 0.000266556
          14    0.196405    0.196487 0.000247591
          15     0.19603    0.196457 0.000232955
          16    0.194778    0.196352 0.000240858
          17    0.194706    0.196255 0.000245373
          18    0.195895    0.196235 0.000232556
          19     0.19748    0.196301 0.000229359
          20    0.196886     0.19633  0.00021975
