#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -0.8913     -0.8913           0
           2   -0.891482   -0.891391 6.44881e-05
           3   -0.890771   -0.891185 0.000174133
           4   -0.892444   -0.891499 0.000302344
           5   -0.893713   -0.891942 0.000463979
           6   -0.892423   -0.892022 0.000393517
           7   -0.891447    -0.89194 0.000345769
           8   -0.891456    -0.89188 0.000307798
           9   -0.889649   -0.891632 0.000359816
          10   -0.891021   -0.891571  0.00032898
          11   -0.890819   -0.891502 0.000306083
          12   -0.894648   -0.891764 0.000376449
          13    -0.89281   -0.891845 0.000355972
          14   -0.893617   -0.891971 0.000352329
          15    -0.89142   -0.891935 0.000330752
          16   -0.892873   -0.891993 0.000315234
          17   -0.893495   -0.892082 0.000308823
          18   -0.893913   -0.892183 0.000307967
          19   -0.891946   -0.892171 0.000292012
          20   -0.893714   -0.892248 0.000287419
