#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.48619     1.48619           0
           2     1.50122     1.49371  0.00531417
           3     1.48999     1.49247  0.00368448
           4     1.50261       1.495  0.00352878
           5     1.51677     1.49936  0.00480867
           6     1.52513     1.50365   0.0056069
           7     1.51174     1.50481  0.00492341
           8     1.52269     1.50704  0.00478872
           9     1.51094     1.50748  0.00427617
          10     1.53283     1.51001  0.00453827
          11     1.52026     1.51094  0.00422027
          12     1.48832     1.50906  0.00426897
          13     1.54414     1.51176  0.00471692
          14     1.51484     1.51198  0.00438513
          15     1.50509     1.51152  0.00411677
          16     1.52059     1.51208  0.00389831
          17     1.53128     1.51321  0.00382906
          18      1.4905     1.51195  0.00381867
          19     1.51155     1.51193  0.00361774
          20     1.51912     1.51229  0.00345469
