#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.69959     1.69959           0
           2     1.65802      1.6788   0.0146998
           3     1.68817     1.68193   0.0101261
           4     1.68822      1.6835  0.00771566
           5     1.69131     1.68506  0.00632869
           6     1.69362     1.68649  0.00543236
           7     1.70085     1.68854  0.00502885
           8     1.71017     1.69124   0.0050752
           9     1.68344     1.69038  0.00458483
          10      1.7134     1.69268  0.00466872
          11     1.69467     1.69286  0.00424779
          12     1.69311     1.69288  0.00389386
          13      1.6975     1.69323  0.00361051
          14     1.67186     1.69171   0.0036612
          15     1.70003     1.69226   0.0034589
          16     1.70197     1.69287   0.0032955
          17     1.69715     1.69312  0.00311123
          18     1.70052     1.69353  0.00296542
          19     1.69051     1.69337  0.00281362
          20     1.68841     1.69312  0.00268387
