#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.761889   -0.761889           0
           2   -0.760862   -0.761376 0.000362887
           3   -0.762683   -0.761811 0.000430326
           4   -0.761254   -0.761672 0.000344544
           5   -0.762152   -0.761768 0.000288689
           6   -0.761596   -0.761739 0.000241996
           7   -0.762313   -0.761821 0.000220851
           8   -0.761713   -0.761808 0.000193661
           9   -0.761264   -0.761747 0.000181324
          10   -0.761138   -0.761686 0.000173116
          11   -0.761138   -0.761637 0.000164413
          12   -0.762051   -0.761671 0.000154299
          13   -0.761772   -0.761679 0.000142625
          14   -0.760729   -0.761611 0.000147703
          15   -0.760786   -0.761556 0.000147733
          16    -0.76211   -0.761591 0.000142494
          17   -0.762458   -0.761642 0.000142946
          18   -0.762106   -0.761667 0.000137317
          19   -0.763378   -0.761758 0.000156861
          20    -0.76142   -0.761741 0.000149923
