#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.32458     7.32458           0
           2     7.32412     7.32435  0.00016518
           3     7.35839      7.3357   0.0092643
           4     7.19433     7.30036   0.0313845
           5     7.23956      7.2882   0.0273621
           6     7.40065     7.30694   0.0285067
           7     7.53178     7.33906   0.0384888
           8     7.36243     7.34198   0.0337884
           9     7.44417     7.35333   0.0318848
          10     7.35056     7.35306   0.0286975
          11     7.35288     7.35304   0.0260887
          12     7.21545     7.34157    0.026314
          13     7.43381     7.34867   0.0252282
          14      7.2653     7.34271   0.0241188
          15     7.44697     7.34966    0.023491
          16     7.54414     7.36182   0.0249701
          17     7.33051     7.35998   0.0235691
          18      7.3886     7.36157   0.0223133
          19     7.66881     7.37774   0.0263549
          20     7.41705      7.3797   0.0251103
