#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.078756    0.078756           0
           2   0.0864356   0.0825958  0.00271515
           3   0.0865316   0.0839077  0.00210331
           4     0.09209   0.0859533  0.00237207
           5   0.0871208   0.0861868  0.00190911
           6   0.0897908   0.0867875  0.00168277
           7   0.0924908   0.0876022  0.00162771
           8   0.0871736   0.0875486  0.00142513
           9   0.0837244   0.0871237  0.00132862
          10    0.087334   0.0871448  0.00119592
          11   0.0995212   0.0882699  0.00152737
          12    0.100005   0.0892478  0.00168431
          13   0.0907732   0.0893652  0.00155883
          14   0.0887036   0.0893179   0.0014482
          15    0.094292   0.0896495   0.0013891
          16    0.079908   0.0890407   0.0014295
          17    0.104055   0.0899239  0.00159509
          18   0.0874116   0.0897843  0.00151256
          19   0.0840832   0.0894843  0.00146242
          20    0.089402   0.0894801   0.0013893
