#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      2.4961      2.4961           0
           2     2.54709     2.52159   0.0180284
           3     2.46034     2.50118   0.0205524
           4     2.48051     2.49601   0.0160505
           5     2.51576     2.49996   0.0133178
           6     2.52408     2.50398    0.011689
           7     2.50675     2.50438   0.0100259
           8     2.52233     2.50662  0.00902029
           9     2.58276     2.51508   0.0113097
          10     2.58153     2.52173   0.0119726
          11     2.52586      2.5221   0.0108901
          12     2.51276     2.52132   0.0100104
          13     2.55032     2.52355  0.00948568
          14     2.51495     2.52294  0.00882803
          15     2.53309     2.52362  0.00826541
          16     2.51908     2.52333  0.00775369
          17     2.53901     2.52426  0.00735225
          18     2.47699     2.52163  0.00739789
          19     2.50587      2.5208   0.0070549
          20     2.51359     2.52044  0.00671136
